# Ferrari - Camana, Val Bregaglia - ABAL - ITRDB CHE467
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41279
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41279.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che467-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che467.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che467.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Ferrari - Camana, Val Bregaglia - ABAL - ITRDB CHE467
#--------------------
# Investigators
#   Investigators: Ferrari, Michela; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 1172 - 1247 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Ferrari M. 2024. Wachstum und Verbreitung der Weisstanne im Bergell. Master’s thesis. ETH Zurich, Zurich. doi:10.3929/ethz-b-000676922
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Camana, Val Bregaglia
#   Location: Switzerland
#   Northernmost_Latitude: 46.3376533
#   Southernmost_Latitude: 46.3376533
#   Easternmost_Longitude: 9.594620274
#   Westernmost_Longitude: 9.594620274
#   Elevation_m: 1209
#--------------------
# Data_Collection
#   Collection_Name: CHE467
#   First_Year: 1778
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CA01TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA01TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA06TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA06TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA07TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA07TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA08TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA08TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA09TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA09TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA10TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA10TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA11TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA11TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA12TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA12TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA16TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA16TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CA01TA_raw	CA06TA_raw	CA07TA_raw	CA08TA_raw	CA09TA_raw	CA10TA_raw	CA11TA_raw	CA12TA_raw	CA16TA_raw
1851	1.07	1.23	0.89	NA	0.73	0.21	1	1.93	1.93
1852	1.31	1.46	1.12	NA	0.93	0.29	1.18	1.95	1.78
1853	1.18	1.28	1.06	NA	0.91	0.3	0.99	2.06	1.84
1854	1.54	1.17	1.05	NA	1.1	0.29	0.73	1.95	1.84
1855	1.2	1	0.85	NA	0.99	0.28	0.76	2.15	1.79
1856	1.26	1	0.7	NA	0.95	0.29	0.86	2.17	1.5
1857	1.09	0.87	0.63	NA	0.84	0.29	1.17	1.98	1.43
1858	0.93	0.91	0.97	NA	0.97	0.31	1.2	1.72	1.48
1859	0.99	0.96	1.17	NA	1.26	0.46	1.6	1.96	1.68
1860	0.85	0.61	1.03	NA	0.86	0.43	1.2	1.68	1.21
1861	0.97	0.89	1.57	NA	0.98	0.49	1.22	2.06	1.84
1862	0.84	0.73	1.2	NA	0.68	0.31	1.46	2.38	1.4
1863	0.87	0.7	1.36	NA	0.65	0.28	1.41	2.32	1.43
1864	0.92	0.81	1.25	NA	0.67	0.46	1.26	1.89	1.43
1865	0.76	0.61	0.88	NA	0.73	0.43	1.16	1.78	0.96
1866	0.88	0.86	0.89	NA	0.84	0.42	1.33	1.85	1.62
1867	0.82	0.89	1.02	NA	0.67	0.38	1.2	1.8	1.95
1868	0.73	0.77	0.83	NA	0.83	0.38	1.25	1.67	1.38
1869	0.63	0.64	0.61	NA	0.63	0.35	1.44	1.64	1.37
1870	0.54	0.58	0.47	NA	0.54	0.27	1.14	1.32	1.22
1871	0.62	0.63	0.57	NA	0.85	0.43	1.39	1.51	1.18
1872	0.6	0.57	0.49	NA	0.78	0.3	1.2	1.54	1.31
1873	0.57	0.71	0.51	NA	0.83	0.4	1.4	1.98	1.4
1874	0.51	0.43	0.39	NA	0.58	0.26	1.12	1.4	1.27
1875	0.61	0.58	0.38	NA	0.81	0.34	1.32	1.29	1.06
1876	0.6	0.66	0.44	NA	0.98	0.43	1.26	1.39	1.4
1877	0.49	0.61	0.47	NA	0.75	0.44	1.24	1.33	1.21
1878	0.49	0.6	0.47	NA	0.76	0.39	1.47	1.32	1.3
1879	0.46	0.62	0.37	NA	0.8	0.38	1.17	1.37	1.16
1880	0.48	0.62	0.42	NA	0.82	0.52	1.07	1.46	1.55
1881	0.41	0.45	0.27	NA	0.68	0.36	0.96	1.2	1.6
1882	0.29	0.27	0.28	NA	0.59	0.35	0.86	0.9	1.49
1883	0.36	0.44	0.37	NA	0.71	0.35	0.88	0.98	1.22
1884	0.31	0.66	0.38	NA	0.64	0.34	0.85	0.95	1.27
1885	0.22	0.5	0.38	1.02	0.61	0.28	0.7	0.94	1.21
1886	0.28	0.3	0.3	0.85	0.61	0.24	0.77	0.82	1.11
1887	0.26	0.51	0.34	0.68	0.6	0.27	0.62	0.83	1.05
1888	0.3	0.54	0.33	0.63	0.57	0.26	0.66	0.7	0.84
1889	0.4	0.64	0.37	0.83	0.84	0.29	0.88	0.86	1.21
1890	0.34	0.68	0.32	0.79	0.76	0.27	0.83	0.8	1.18
1891	0.38	0.7	0.28	0.65	0.91	0.34	0.73	0.77	1.17
1892	0.32	0.74	0.38	0.62	0.9	0.31	0.72	0.76	1.43
1893	0.24	0.68	0.39	0.53	0.74	0.29	0.66	0.74	1.43
1894	0.19	0.6	0.4	0.61	0.58	0.31	0.61	0.68	1.39
1895	0.2	0.63	0.43	0.57	0.83	0.32	0.57	0.67	1.35
1896	0.22	0.56	0.41	0.55	0.64	0.29	0.59	0.73	1.41
1897	0.29	0.55	0.43	0.8	0.95	0.3	0.59	0.75	1.53
1898	0.2	0.55	0.46	0.72	1.12	0.24	0.59	0.69	1.37
1899	0.21	0.41	0.39	0.55	0.84	0.3	0.54	0.65	1.44
1900	0.25	0.51	0.4	0.48	0.87	0.32	0.54	0.65	1.26
1901	0.25	0.43	0.37	0.55	0.65	0.21	0.56	0.63	1.14
1902	0.32	0.56	0.48	0.69	0.94	0.34	0.63	0.7	1.22
1903	0.26	0.51	0.49	0.61	0.92	0.4	0.61	0.69	1.31
1904	0.35	0.54	0.53	0.64	1	0.48	0.58	0.83	1.56
1905	0.31	0.48	0.49	0.58	1.23	0.41	0.58	0.76	1.32
1906	0.32	0.64	0.53	0.68	1.06	0.44	0.54	0.82	1.23
1907	0.19	0.49	0.34	0.39	0.63	0.3	0.4	0.57	0.71
1908	0.29	0.46	0.47	0.43	0.71	0.31	0.46	0.58	0.88
1909	0.22	0.3	0.34	0.33	0.66	0.23	0.51	0.64	0.67
1910	0.33	0.46	0.38	0.39	0.83	0.37	0.57	0.74	1.06
1911	0.33	0.53	0.49	0.48	1.03	0.4	0.77	0.63	1.14
1912	0.21	0.29	0.37	0.35	0.66	0.25	0.76	0.55	0.97
1913	0.38	0.42	0.51	0.42	0.73	0.37	0.89	0.68	1.07
1914	0.3	0.55	0.47	0.51	0.84	0.44	0.76	0.77	0.89
1915	0.36	0.46	0.43	0.37	1	0.35	0.81	0.77	0.97
1916	0.4	0.5	0.44	0.35	0.97	0.34	0.94	0.77	0.94
1917	0.5	0.46	0.33	0.39	1.1	0.42	0.92	0.82	1.32
1918	0.36	0.35	0.28	0.28	1.04	0.3	0.86	0.94	0.85
1919	0.32	0.33	0.19	0.23	0.9	0.26	0.9	0.9	0.74
1920	0.35	0.39	0.27	0.31	0.92	0.28	0.86	0.89	0.61
1921	0.27	0.28	0.23	0.29	0.86	0.21	0.87	1.12	0.41
1922	0.27	0.36	0.2	0.19	0.74	0.2	0.66	0.89	0.45
1923	0.25	0.46	0.46	0.27	1.26	0.34	1.04	1.38	0.35
1924	0.38	0.49	0.94	0.27	1.24	0.27	0.97	1.17	0.41
1925	0.36	0.46	1.35	0.33	1.02	0.33	0.88	1.18	0.51
1926	0.42	0.6	1.66	0.38	1.37	0.38	1.09	1.33	0.68
1927	0.39	0.62	1.15	0.39	1.15	0.29	0.97	1.59	0.59
1928	0.43	0.64	1.1	0.51	1.31	0.35	0.85	1.72	0.76
1929	0.41	0.49	1.02	0.43	1.23	0.31	0.75	1.42	0.99
1930	0.45	0.4	0.98	0.5	1.13	0.26	0.66	1.41	0.88
1931	0.54	0.46	0.98	0.56	0.96	0.28	0.69	1.47	0.85
1932	0.72	0.39	0.8	0.65	1	0.3	0.84	1.55	1.01
1933	0.5	0.32	0.71	0.56	1.03	0.19	0.76	1.71	0.85
1934	0.44	0.33	1.27	0.57	1.14	0.24	0.77	1.54	0.84
1935	0.58	0.36	1.54	0.55	1.02	0.25	0.74	1.45	1.92
1936	0.61	0.28	1.36	0.54	1.04	0.24	0.91	1.33	2.22
1937	0.71	0.35	1.65	0.79	0.92	0.28	1.17	1.4	2.48
1938	0.61	0.4	1.31	0.79	0.92	0.31	0.92	1.6	1.52
1939	0.64	0.31	1.04	0.69	0.79	0.25	0.81	1.46	1.49
1940	0.74	0.33	1.05	0.82	1	0.29	0.8	1.56	1.39
1941	0.68	0.4	0.84	0.83	0.89	0.26	0.74	1.27	1.39
1942	0.46	0.35	0.63	0.71	0.62	0.2	0.77	0.98	1.06
1943	0.42	0.28	0.6	0.71	0.52	0.19	0.78	1.15	1.32
1944	0.33	0.34	0.65	0.61	0.41	0.18	0.87	0.99	1
1945	0.35	0.3	0.63	0.5	0.58	0.21	0.61	0.81	0.88
1946	0.4	0.27	0.52	0.53	0.6	0.24	0.72	0.77	0.93
1947	0.52	0.26	0.57	0.56	0.81	0.19	0.95	0.82	1.08
1948	0.38	0.22	0.4	0.34	0.64	0.19	0.79	0.73	0.61
1949	0.55	0.27	0.39	0.45	0.66	0.27	0.73	0.76	0.96
1950	0.39	0.26	0.33	0.41	0.52	0.29	0.87	0.81	1.13
1951	0.49	0.2	0.33	0.45	0.48	0.27	0.78	0.84	0.9
1952	0.57	0.3	0.43	0.48	0.63	0.33	0.78	1.15	1.17
1953	0.48	0.23	0.28	0.41	0.58	0.17	0.7	0.92	0.88
1954	0.53	0.27	0.29	0.43	0.36	0.19	0.65	0.95	0.91
1955	0.73	0.3	0.39	0.56	0.42	0.33	0.79	1.13	0.86
1956	0.57	0.22	0.25	0.6	0.36	0.19	0.78	0.36	0.88
1957	0.42	0.16	0.3	0.49	0.29	0.22	0.69	0.48	0.81
1958	0.36	0.21	0.34	0.54	0.32	0.24	0.63	0.4	0.85
1959	0.35	0.16	0.37	0.57	0.22	0.25	0.72	0.54	0.87
1960	0.34	0.24	0.32	0.57	0.27	0.24	0.74	0.47	0.61
1961	0.42	0.18	0.35	0.55	0.32	0.18	0.85	0.57	0.42
1962	0.46	0.21	0.3	0.61	0.34	0.26	0.82	0.78	0.73
1963	0.37	0.2	0.24	0.5	0.29	0.2	0.73	0.62	0.56
1964	0.36	0.15	0.32	0.64	0.25	0.14	0.68	0.46	0.49
1965	0.41	0.26	0.33	0.55	0.34	0.19	0.7	0.39	0.52
1966	0.34	0.2	0.34	0.65	0.26	0.21	0.68	0.35	0.41
1967	0.46	0.19	0.27	0.89	0.31	0.19	0.76	0.56	0.61
1968	0.4	0.16	0.34	1.08	0.23	0.29	0.66	0.53	0.65
1969	0.32	0.13	0.38	1.21	0.25	0.27	0.65	0.47	0.67
1970	0.33	0	0.38	1.31	0.3	0.25	0.53	0.47	0.65
1971	0.29	0.18	0.29	1.25	0.3	0.28	0.58	0.48	0.7
1972	0.22	0.19	0.26	1.7	0.2	0.18	0.77	0.47	0.71
1973	0.31	0.17	0.35	1.83	0.28	0.21	0.7	0.55	0.6
1974	0.28	0.21	0.32	1.86	0.29	0.14	0.66	0.41	0.44
1975	0.62	0.09	0.4	2.04	0.15	0.23	0.91	0.48	0.69
1976	0.57	0.2	0.28	1.31	0.24	0.24	0.8	0.48	0.74
1977	0.65	0.15	0.35	1.27	0.17	0.28	0.79	0.53	0.78
1978	0.67	0.14	0.34	1.32	0.25	0.32	0.99	0.57	1.5
1979	0.98	0.08	0.29	0.96	0.12	0.3	1.17	0.6	1.4
1980	0.78	0.1	0.15	0.87	0.09	0.22	0.87	0.56	1.05
1981	0.77	0	0.21	0.92	0	0.23	0.65	0.47	1.37
1982	0.89	0.04	0.26	1.17	0.09	0.27	0.78	0.49	0.89
1983	0.65	0.2	0.25	1.21	0.15	0.23	0.69	0.56	1.14
1984	0.59	0.16	0.15	1.31	0.18	0.26	0.56	0.47	1.15
1985	0.85	0.2	0.19	1.66	0.27	0.45	0.71	0.69	2.04
1986	0.6	0.09	0.07	1.15	0.22	0.33	0.48	0.55	1.54
1987	0.52	0.16	0.19	1.35	0.26	0.39	0.6	0.51	2.26
1988	0.59	0.18	0.28	1.79	0.23	0.33	0.49	0.44	2.35
1989	0.99	0.2	0.37	1.66	0.29	0.5	0.72	0.64	2.43
1990	0.8	0.18	0.32	1.45	0.25	0.49	0.7	0.72	2.15
1991	0.68	0.25	0.26	1.22	0.32	0.51	0.67	0.72	2.51
1992	0.52	0.17	0.32	1.34	0.31	0.34	0.69	0.57	1.88
1993	0.5	0.18	0.33	1.36	0.34	0.36	0.62	0.55	2.35
1994	0.64	0.19	0.4	1.42	0.31	0.47	0.75	0.55	1.86
1995	1.4	0.21	0.41	1.1	0.44	0.33	0.72	0.72	2.7
1996	1.54	0.22	0.39	1.02	0.57	0.35	0.67	0.62	2.94
1997	2.62	0.3	0.47	0.89	0.82	0.65	0.76	0.98	2.67
1998	1.93	0.27	0.43	0.64	0.81	0.63	0.79	0.67	2.95
1999	1.42	0.28	0.34	0.7	1.09	0.6	0.82	0.45	3.28
2000	1.01	0.22	0.29	0.62	1.47	0.48	0.64	0.38	3.86
2001	1.11	0.35	0.37	0.54	1.39	0.6	0.7	0.53	2.61
2002	1.34	0.36	0.37	0.41	1.08	0.47	0.71	0.59	4.14
2003	1.89	0.44	0.35	0.46	1.05	0.55	0.9	0.76	3.01
2004	1.31	0.35	0.28	0.36	0.64	0.4	0.81	0.57	2.09
2005	1.31	0.45	0.28	0.54	0.68	0.37	0.81	0.62	3.34
2006	0.96	0.44	0.36	0.58	0.57	0.33	0.78	0.77	2.46
2007	1.01	0.33	0.36	0.54	0.45	0.25	0.76	0.82	4.23
2008	2.6	1.04	0.63	0.85	0.84	0.46	1.18	1.82	4.52
2009	3.76	2.14	0.79	1.35	1.13	0.53	1.26	1.61	2.98
2010	3.61	1.4	0.73	1.14	1.17	0.68	1.37	1.41	3.24
