# Vanoni - Derborence - LADE - ITRDB CHE443
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41255
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41255.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che443-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che443.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che443.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Vanoni - Derborence - LADE - ITRDB CHE443
#--------------------
# Investigators
#   Investigators: Vanoni, Marco; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Drought and frost contribute to abrupt growth decreases before tree mortality in nine temperate tree species
#   Journal_Name: Forest Ecology and Management
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.foreco.2016.10.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Swiss National Science Foundation
#   Grant: 140968
#--------------------
# Site_Information
#   Site_Name: Derborence
#   Location: Switzerland
#   Northernmost_Latitude: 46.277222232
#   Southernmost_Latitude: 46.277222232
#   Easternmost_Longitude: 7.218055563
#   Westernmost_Longitude: 7.218055563
#   Elevation_m: 1500
#--------------------
# Data_Collection
#   Collection_Name: CHE443
#   First_Year: 1789
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 60572_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60572; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60573_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60573; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60574_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60574; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60575_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60575; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60576_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60576; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60577_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60577; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60578_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60578; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60579_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60579; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60580_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60580; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60581_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60581; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	60572_raw	60573_raw	60574_raw	60575_raw	60576_raw	60577_raw	60578_raw	60579_raw	60580_raw	60581_raw
1862	NA	0.26	1.19	2.17	1.3	0.53	NA	NA	NA	NA
1863	NA	0.31	1.14	2.1	1.21	1.58	NA	NA	NA	NA
1864	NA	0.44	1.57	1.61	1.15	1.78	NA	NA	NA	NA
1865	NA	0.41	1.54	1.6	1.2	1.27	NA	NA	NA	NA
1866	NA	0.66	1.5	1.48	1.19	0.87	NA	NA	NA	NA
1867	NA	0.55	1.45	1.32	1.27	0.64	NA	NA	NA	NA
1868	NA	0.73	1.04	1.13	1.05	0.68	NA	1.59	NA	NA
1869	NA	0.88	1.15	1.06	1.23	0.59	NA	1.67	NA	NA
1870	NA	1.08	1.24	1.3	1.37	0.8	NA	1.12	NA	NA
1871	NA	1.24	1.24	1.31	1.3	0.76	NA	1.07	NA	NA
1872	NA	1	1.09	1.18	1.35	0.73	NA	1.01	NA	NA
1873	NA	0.84	0.89	1.23	1.13	0.65	NA	0.91	NA	NA
1874	NA	0.87	1.09	1.27	1.1	0.69	NA	1.06	NA	NA
1875	NA	1.04	1.62	1.56	1.12	1.28	NA	1.21	NA	NA
1876	NA	0.75	1.36	1.22	1.02	0.86	NA	0.84	NA	NA
1877	NA	0.71	1.38	1.48	1.03	0.9	NA	0.76	NA	NA
1878	NA	0.83	2.02	1.67	1.33	1.18	NA	0.74	NA	NA
1879	NA	0.97	1.65	1.43	0.99	0.89	NA	0.65	NA	NA
1880	NA	1.35	1.71	1.03	1.02	0.97	NA	1.14	NA	NA
1881	NA	1.18	1.6	1.21	1.09	0.98	NA	1.61	NA	NA
1882	NA	1.3	1.55	1.11	1.16	0.98	NA	1.98	NA	2.81
1883	NA	1.3	1.49	1.14	1.37	0.86	NA	2.25	NA	3.12
1884	NA	1.08	1.24	0.99	1.51	0.64	NA	1.73	NA	3.05
1885	NA	1.06	1.43	1.41	1.49	0.71	NA	1.69	NA	2.73
1886	NA	1.07	1.43	1.13	1.52	0.84	NA	1.95	NA	2.29
1887	NA	1.15	1.29	1.39	1.49	0.88	NA	1.45	NA	2.28
1888	2.57	1.36	1.14	0.89	1.31	1.08	NA	1.12	NA	1.9
1889	1.9	2.72	1.37	1.03	1.41	1.03	NA	1.18	NA	2.26
1890	1.7	3.52	1.39	0.71	1.26	0.91	NA	1.29	NA	2.38
1891	1.72	3.96	1.17	0.83	1.4	0.93	NA	1.27	1.46	2.63
1892	1.5	3.8	1.45	1.03	1.43	1.12	NA	1.43	1.75	2.83
1893	1.89	3.57	1.59	1.21	1.6	1.41	NA	1.78	1.26	3.5
1894	1.8	2.5	1.45	1.48	1.41	1.1	NA	1.51	1.06	2.69
1895	2.29	2.22	1.21	1.79	1.52	1.15	NA	1.64	1.33	2.85
1896	1.83	2.07	1.14	1.44	1.35	1.31	NA	1.38	0.88	2.55
1897	1.38	1.8	1.05	1.58	1.18	0.92	NA	1.64	1.07	2.44
1898	1.12	1.9	0.8	1.56	0.87	0.84	NA	1.64	0.82	2.43
1899	1.64	2.24	0.96	1.48	1.16	0.75	NA	1.93	0.84	2.41
1900	2.47	2.67	1.16	1.74	1.24	0.75	NA	1.48	0.99	1.28
1901	2.69	3.09	1	1.8	1.2	0.71	NA	1.4	1.36	1.77
1902	2.69	2.69	0.96	1.58	1.23	0.73	NA	1.26	1.36	2.03
1903	2.63	3.18	1.26	1.52	1.28	0.79	NA	1.22	1.08	2.42
1904	3.3	3.8	1.15	2.12	1.78	0.98	NA	1.56	1.34	2.92
1905	2.43	2.87	0.78	2.05	1.66	1.19	NA	1.51	1.22	2.19
1906	1.98	2.71	0.84	2.02	1.4	0.91	NA	1.22	1.13	1.74
1907	2.41	2.86	0.85	1.97	1.23	1.12	NA	1.27	1.81	1.69
1908	1.83	2.62	0.93	1.83	0.95	0.79	NA	1.37	1.46	0.85
1909	1.14	2.29	0.66	1.28	0.6	0.6	NA	1.01	1.12	0.67
1910	1.67	2.48	0.76	1.69	1.01	0.92	NA	1.53	1.07	1.4
1911	1.92	2.77	1.22	1.63	1.12	0.86	NA	1.47	1.14	1.29
1912	1.77	3.01	1.26	2.12	1.09	1.02	NA	1.7	1.3	1.48
1913	1.11	2.32	0.88	1.28	0.93	0.74	NA	1.61	1.27	1.24
1914	1.13	3.32	0.53	1.54	1.34	0.93	NA	1.93	1.41	1.51
1915	1.5	3.55	0.83	1.69	1.7	1	1.76	2.07	2.27	1.76
1916	1.51	2.8	0.96	1.76	1.81	0.77	2.1	1.49	1.91	1.82
1917	1.22	2.4	0.63	1.72	1.88	0.59	2.05	1.4	1.94	2.06
1918	1.68	2.34	0.59	1.49	1.44	0.54	2.23	1.05	1.64	1.79
1919	1.69	2.1	0.97	1.72	1.5	0.68	2.05	1.22	1.89	1.8
1920	1.83	1.71	0.96	1.71	1.65	0.69	1.87	1.15	1.61	1.91
1921	1.52	1.71	1.19	2.13	1.32	0.88	1.98	1.21	1.75	1.55
1922	1.73	2.15	1.73	2.25	1.36	1.06	1.72	1.74	2.3	2.06
1923	1.45	1.72	1.79	1.69	1.25	0.8	2.07	1.4	1.48	2.53
1924	2.04	2.41	2.23	2.43	1.71	1.09	2.31	1.8	2.41	3.29
1925	1.99	1.77	1.25	2.16	1.24	0.76	2.49	1.29	2.09	2.89
1926	2.02	1.74	1.28	1.81	1.1	0.69	2.15	1.44	1.31	2.84
1927	2.75	2.21	1.16	2.16	1.26	0.65	2.47	1.58	2.07	3.77
1928	2.86	2.12	1.43	1.87	1.37	0.54	1.99	0.87	1.98	4
1929	2.28	1.97	1.5	1.79	1.29	0.53	2.24	0.75	1.8	3.14
1930	1.4	1.79	1.21	1.8	1.13	0.62	2.03	1.14	1.63	2.5
1931	1.25	2.39	1.91	1.89	1.66	0.78	2.74	1.14	2.11	2.67
1932	1.5	2.65	2.02	1.97	1.5	0.55	2.5	1.06	2.09	2.47
1933	1.18	2.17	1.6	1.68	1.15	0.52	2.11	1.1	1.81	2.47
1934	1.19	1.91	1.47	1.78	1.12	0.57	2.41	0.99	1.89	2.93
1935	1.24	1.61	1.33	1.58	1.1	0.54	2.24	0.8	1.57	2.6
1936	1.46	1.6	1.49	1.26	1.25	0.61	1.5	0.78	1.72	2.24
1937	0.98	1.27	1.07	1.12	0.46	0.52	0.78	0.56	1.71	1.4
1938	1.01	1.2	0.66	1.23	0.57	0.46	0.87	0.49	1.5	1.33
1939	0.96	1.42	1.01	1.4	0.66	0.57	1.44	0.53	1.92	1.91
1940	1.04	1.96	1.14	1.41	0.75	0.51	2.33	0.69	2.69	2.06
1941	0.95	1.98	1.04	1.45	0.96	0.45	2.26	0.65	2.24	2.11
1942	1.08	2.2	1.31	1.28	1.16	0.71	3.13	0.69	2.65	2.41
1943	1.28	2.37	1.33	1.59	1.18	0.74	3.6	0.79	3.16	2.95
1944	1.33	1.88	1.79	1.38	1.34	0.65	3.4	0.85	2.51	2.96
1945	1.44	1.31	1.53	1.18	0.61	0.54	2.03	0.63	1.61	1.74
1946	0.83	0.77	1.19	0.87	0.47	0.31	1.91	0.61	1.53	1.41
1947	1.18	0.98	2.22	1.25	0.83	0.61	2.65	0.83	1.71	2.14
1948	1.66	1.28	1.92	1.04	0.96	0.58	3.14	0.7	1.99	1.66
1949	1.81	1.79	1.6	1.55	1.35	0.66	3.45	0.84	2.91	1.8
1950	2.59	2.1	2.07	1.2	1.51	0.99	4.35	0.82	2.56	1.85
1951	2.62	3.07	1.88	1.24	1.34	0.94	3.37	0.73	2.35	2.1
1952	2.49	2.52	1.7	1.63	1.41	0.74	3.65	0.74	2.51	2.16
1953	2.68	2.44	1.63	1.37	1.29	0.97	3.37	0.91	2.04	2.42
1954	1.97	1.74	1.57	1.29	1.15	0.62	3.13	0.96	1.57	1.77
1955	1.7	1.84	1.47	1.02	1.05	0.58	2.4	1.11	1.43	1.5
1956	2.03	1.65	1.57	0.95	1.06	0.72	2.7	0.92	1.45	1.39
1957	2.02	2.44	2.12	0.99	1.4	0.66	2.92	1.01	1.31	1.36
1958	2.03	2.91	2.7	1.24	1.89	1.1	2.79	1.19	1.99	1.65
1959	1.92	2.95	2.38	1.66	2.34	0.94	3.05	1.31	2.12	2.02
1960	2.21	2.16	2.5	1.33	1.75	1.11	2.86	1.02	2.36	1.76
1961	2.34	2.37	2.29	1.23	1.52	0.68	2.41	0.84	2.45	2.44
1962	1.82	1.51	2.3	0.81	1.96	0.75	3.01	0.7	2.31	1.66
1963	0.73	0.98	1.7	0.53	0.76	0.39	1.8	0.67	1.44	1.02
1964	0.6	0.79	1.11	0.73	0.79	0.21	1.6	0.49	1.09	0.66
1965	1.14	1.12	1.72	0.72	0.78	0.36	2.12	0.58	1.06	1.34
1966	1.97	2.02	1.97	0.92	1.2	0.56	2.32	0.54	1.05	1.56
1967	1.51	2.11	2.04	1.12	1.53	0.55	2.42	0.63	1.15	1.65
1968	2.27	2.5	2.08	0.95	1.89	0.77	2.68	0.95	1.12	1.38
1969	1.89	2	2.04	0.99	1.95	0.62	3.14	1.18	1.2	1.39
1970	1.69	1.71	1.74	0.98	1.67	0.75	3.15	1.09	1.46	1.62
1971	1.21	1.06	1.62	0.86	1.5	0.86	2.95	1.15	1.72	1.49
1972	0.42	0.68	0.82	0.58	0.63	0.36	0.92	0.71	0.82	0.79
1973	0.76	0.76	1.05	0.75	0.87	0.52	1.08	0.92	1.33	0.99
1974	0.88	1.02	1.22	0.78	0.68	0.53	1.16	0.83	1.62	1.2
1975	0.95	1.08	1.28	0.66	0.78	0.45	1.17	0.78	1.79	1.34
1976	0.9	1.05	1.06	0.75	0.91	0.5	1.45	0.64	2	1.16
1977	1.21	0.9	1.22	0.68	1.1	0.7	1.84	0.68	1.55	1.11
1978	1.19	0.72	1.29	0.56	1.04	0.59	1.44	0.6	1.53	1.5
1979	1.5	1.23	1.45	0.91	1.66	0.74	1.92	0.84	2.05	2.15
1980	1.65	1.67	1.8	0.87	1.54	0.6	1.86	0.6	1.64	1.73
1981	1.25	1.42	1.7	0.64	1.32	0.52	1.33	0.89	1.71	1.36
1982	1.86	1.52	2.27	1.03	1.76	0.94	1.56	0.89	1.86	1.63
1983	1.42	1.42	1.74	0.95	1.25	0.77	1.35	0.93	1.66	1.22
1984	1.03	1.26	1.11	1.05	1.35	0.76	1.34	0.95	1.61	1.29
1985	1.16	1.19	1.51	0.99	1.38	0.88	1.53	0.85	1.54	1.4
1986	1.15	1.51	1.74	0.88	1.5	0.93	1.37	0.78	2.26	1.27
1987	1.32	1.98	2.02	1.02	1.67	1	1.5	0.72	2.32	1.55
1988	1.51	1.83	1.92	0.85	1.66	1.31	1.52	0.84	2.4	1.75
1989	1.14	1.78	2.21	1.11	1.64	1.26	1.67	0.98	2.59	1.9
1990	0.94	1.51	2.09	0.95	1.35	1.49	1.59	0.65	1.68	0.88
1991	0.93	1.44	2.38	0.91	1.52	1.09	1.56	0.51	1.62	1.1
1992	1.04	1.75	1.95	0.74	1.38	1.22	1.04	0.54	1.23	1.17
1993	1.3	2.33	1.91	1.06	1.58	1.06	1.31	0.57	1.15	1.52
1994	1.29	2.44	1.64	0.93	1.54	1.19	1.81	0.69	1.41	1.74
1995	1.26	1.58	1.77	0.43	1.44	0.87	1.32	0.67	1.45	1.08
1996	0.96	2.31	2.24	0.55	1.28	0.79	1.5	0.93	1.5	1.48
1997	1.09	2.21	2.33	0.65	1.27	0.99	1.55	0.8	1.74	2.2
1998	1.06	2.28	2.39	0.79	1.57	1.35	1.55	1.01	2.08	2.36
1999	1.02	1.6	1.86	0.72	1.66	1.08	1.81	0.91	1.72	2.56
2000	1.03	1.74	2.53	0.8	1.53	1.46	1.69	0.86	1.35	2.32
2001	1.15	1.63	3.02	0.78	1.67	1.65	1.82	0.76	1.79	1.93
2002	1.1	1.43	2.72	0.77	1.69	1.54	2.03	0.83	1.7	1.97
2003	1.11	1.31	2.34	0.66	1.57	1.47	2.39	0.67	2.16	1.62
2004	0.88	1.4	1.98	0.53	1.14	1.29	1.97	0.56	1.89	1.2
2005	1.07	1.79	2.25	0.66	1.71	1.56	2.23	0.54	2.13	1.93
2006	0.83	1.46	1.93	0.64	1.4	1.56	2.07	0.43	2.09	1.58
2007	0.78	2.04	2.15	0.75	1.33	1.43	1.93	0.49	1.79	1.36
