"file","series","year","category","check","evidence"
"asia/mong030.rwl","SPR2W",1437,"Readers disagree","one ID starts a second block","blocks begin at 1437 and 1562; two series share this ID"
"asia/nepa045.rwl","PCSM029A",2010,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2010 but the ID continues; blocks overlap by 234 year(s)"
"asia/russ209.rwl","bar19w",1808,"Readers disagree","one ID starts a second block","blocks begin at 1808 and 1900; two series share this ID"
"asia/russ218.rwl",NA,NA,"Readers disagree","readers return different values","20 non-zero value(s) read.tucson2 refused as ambiguous"
"asia/russ218.rwl","RV11S",1990,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1990 but the ID continues; blocks overlap by 402 year(s)"
"asia/russ218.rwl","rv2s",1990,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1990 but the ID continues; blocks overlap by 501 year(s)"
"asia/russ218.rwl","rv2s",1590,"Readers disagree","value shifted out of column","line 1112 field(s) 10 = '2  145'"
"asia/russ218.rwl","rv8e",1850,"Readers disagree","value shifted out of column","line 47 field(s) 9 = '3  196'"
"asia/russ219.rwl","BRL15N",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 301 year(s)"
"australia/aus127.rwl",NA,NA,"Readers disagree","readers return different values","10 non-zero value(s) read.tucson2 refused as ambiguous"
"australia/aus127.rwl","SPR01C",1690,"Readers disagree","value shifted out of column","line 1247 field(s) 5 6 = '0   52' '0   40'"
"australia/ausl002.rwl","CMT814",1266,"Readers disagree","one ID starts a second block","blocks begin at 1266 and 1830; two series share this ID"
"australia/ausl002.rwl","CMT821",1515,"Readers disagree","one ID starts a second block","blocks begin at 1515 and 1689; two series share this ID"
"australia/ausl024.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"australia/ausl028.rwl","RCS05C",1807,"Readers disagree","one ID starts a second block","blocks begin at 1807 and 1892; two series share this ID"
"australia/ausl045.rwl","mrr08nw",1840,"Readers disagree","embedded tab","line 1767 has a tab; read.tucson shifts this decade and drops its last value"
"australia/ausl045.rwl",NA,NA,"Readers disagree","readers return different values","10 cell(s) read differently by both"
"australia/ausl051.rwl","proc53",1860,"Readers disagree","lines run together","line 435 is 72 chars and holds non-numeric text in a measurement field"
"australia/ausl053.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"australia/ausl053.rwl","JDH14B",1200,"Readers disagree","value shifted out of column","line 7266 field(s) 2 = '0    0'"
"australia/ausl053.rwl","LJUP9C",1172,"Readers disagree","value shifted out of column","line 2853 field(s) 7 = '4   25'"
"australia/newz005.rwl","AHA102",1455,"Readers disagree","one ID starts a second block","blocks begin at 1455 and 1530; two series share this ID"
"australia/newz007.rwl","ARM154",1520,"Readers disagree","one ID starts a second block","blocks begin at 1520 and 1680; two series share this ID"
"australia/newz007.rwl","ARM171",1562,"Readers disagree","one ID starts a second block","blocks begin at 1562 and 1655; two series share this ID"
"australia/newz007.rwl","ARM172",1589,"Readers disagree","one ID starts a second block","blocks begin at 1589 and 1840; two series share this ID"
"australia/newz008.rwl","KON503",1733,"Readers disagree","one ID starts a second block","blocks begin at 1733 and 1805; two series share this ID"
"australia/newz011.rwl","MWO162",1493,"Readers disagree","one ID starts a second block","blocks begin at 1493 and 1810; two series share this ID"
"australia/newz011.rwl","MWO181",1475,"Readers disagree","one ID starts a second block","blocks begin at 1475 and 1880; two series share this ID"
"australia/newz016.rwl","OKA724",1784,"Readers disagree","one ID starts a second block","blocks begin at 1784 and 1790; two series share this ID"
"australia/newz018.rwl","TKP634",1459,"Readers disagree","one ID starts a second block","blocks begin at 1459 and 1660; two series share this ID"
"australia/newz018.rwl","TKP682",1256,"Readers disagree","one ID starts a second block","blocks begin at 1256 and 1721; two series share this ID"
"australia/newz018.rwl","TKP683",1267,"Readers disagree","one ID starts a second block","blocks begin at 1267 and 1686; two series share this ID"
"australia/newz018.rwl","TKP694",1432,"Readers disagree","one ID starts a second block","blocks begin at 1432 and 1748; two series share this ID"
"australia/newz018.rwl","TKP681",1970,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1970 but the ID continues; blocks overlap by 673 year(s)"
"australia/newz018.rwl","TKP684",1910,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1910 but the ID continues; blocks overlap by 648 year(s)"
"australia/newz019.rwl","UWR152",1483,"Readers disagree","one ID starts a second block","blocks begin at 1483 and 1758; two series share this ID"
"australia/newz019.rwl","UWR204",1346,"Readers disagree","one ID starts a second block","blocks begin at 1346 and 1440; two series share this ID"
"australia/newz019.rwl","UWR281",1541,"Readers disagree","one ID starts a second block","blocks begin at 1541 and 1746; two series share this ID"
"australia/newz019.rwl","UWR221",1970,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1970 but the ID continues; blocks overlap by 549 year(s)"
"australia/newz019.rwl","UWR224",1940,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1940 but the ID continues; blocks overlap by 513 year(s)"
"australia/newz062.rwl","TKP634",1459,"Readers disagree","one ID starts a second block","blocks begin at 1459 and 1660; two series share this ID"
"australia/newz062.rwl","TKP682",1256,"Readers disagree","one ID starts a second block","blocks begin at 1256 and 1721; two series share this ID"
"australia/newz062.rwl","TKP683",1267,"Readers disagree","one ID starts a second block","blocks begin at 1267 and 1686; two series share this ID"
"australia/newz062.rwl","TKP694",1432,"Readers disagree","one ID starts a second block","blocks begin at 1432 and 1748; two series share this ID"
"australia/newz062.rwl","TKP681",1970,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1970 but the ID continues; blocks overlap by 673 year(s)"
"australia/newz062.rwl","TKP684",1910,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1910 but the ID continues; blocks overlap by 648 year(s)"
"australia/newz063.rwl","UWR152",1483,"Readers disagree","one ID starts a second block","blocks begin at 1483 and 1758; two series share this ID"
"australia/newz063.rwl","UWR204",1346,"Readers disagree","one ID starts a second block","blocks begin at 1346 and 1440; two series share this ID"
"australia/newz063.rwl","UWR281",1541,"Readers disagree","one ID starts a second block","blocks begin at 1541 and 1746; two series share this ID"
"australia/newz063.rwl","UWR221",1970,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1970 but the ID continues; blocks overlap by 549 year(s)"
"australia/newz063.rwl","UWR224",1940,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1940 but the ID continues; blocks overlap by 513 year(s)"
"europe/brit036.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"europe/brit037.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"europe/brit039.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"europe/finl005.rwl",NA,NA,"Readers disagree","readers return different values","14 value(s) read.tucson missed"
"europe/fran009.rwl","606286",1553,"Readers disagree","one ID starts a second block","blocks begin at 1553 and 1892; two series share this ID"
"europe/germ4.rwl","888091",1758,"Readers disagree","one ID starts a second block","blocks begin at 1758 and 1830; two series share this ID"
"europe/grc034.rwl","XEP23b",1840,"Readers disagree","embedded tab","line 1349 has a tab; read.tucson shifts this decade and drops its last value"
"europe/grc034.rwl","XEP23b	1",850,"Readers disagree","embedded tab","line 1350 has a tab; read.tucson shifts this decade and drops its last value"
"europe/grc034.rwl","XEP23b",1792,"Readers disagree","one ID starts a second block","blocks begin at 1792 and 1890; two series share this ID"
"europe/grc034.rwl",NA,NA,"Readers disagree","readers return different values","5 non-zero value(s) read.tucson2 refused as ambiguous"
"europe/prt004.rwl","WO04S2",2010,"Readers disagree","embedded tab","line 66 has a tab; read.tucson shifts this decade and drops its last value"
"europe/prt004.rwl",NA,NA,"Readers disagree","readers return different values","3 cell(s) read differently by both"
"europe/roma009.rwl","f1-03",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 158 year(s)"
"europe/swed334.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"europe/turk044.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"europe/turk045.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"europe/turk046.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"northamerica/canada/can697.rwl","B22B1",199,"Readers disagree","lines run together","line 867 is 37 chars and holds non-numeric text in a measurement field"
"northamerica/canada/can697.rwl","B22B1b",199,"Readers disagree","lines run together","line 880 is 37 chars and holds non-numeric text in a measurement field"
"northamerica/canada/can697.rwl",NA,NA,"Readers disagree","readers return different values","238 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/canada/can697.rwl","B22B1",187,"Readers disagree","value shifted out of column","line 855 field(s) 1 2 3 4 5 6 = '4   25' '0   23' '0   32' '0   35' '0   55' '0   20'"
"northamerica/canada/can697.rwl","B22B1b",187,"Readers disagree","value shifted out of column","line 868 field(s) 1 2 3 4 5 6 = '4   18' '0   22' '0   24' '0   42' '0   68' '0   22'"
"northamerica/canada/can712.rwl","RA13",199,"Readers disagree","lines run together","line 130 is 25 chars and holds non-numeric text in a measurement field"
"northamerica/canada/can712.rwl","RA32",196,"Readers disagree","lines run together","line 852 is 25 chars and holds non-numeric text in a measurement field"
"northamerica/canada/can712.rwl","RA7",186,"Readers disagree","lines run together","line 1211 is 19 chars and holds non-numeric text in a measurement field"
"northamerica/canada/can712.rwl","RA7b",199,"Readers disagree","lines run together","line 1225 is 25 chars and holds non-numeric text in a measurement field"
"northamerica/canada/can712.rwl",NA,NA,"Readers disagree","readers return different values","536 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/canada/can712.rwl","RA13",180,"Readers disagree","value shifted out of column","line 111 field(s) 1 2 = '8    8' '0    6'"
"northamerica/canada/can712.rwl","RA32",179,"Readers disagree","value shifted out of column","line 835 field(s) 1 = '9   48'"
"northamerica/canada/can712.rwl","RA7",179,"Readers disagree","value shifted out of column","line 1204 field(s) 1 2 3 = '7   44' '0   32' '0   35'"
"northamerica/canada/can712.rwl","RA7b",186,"Readers disagree","value shifted out of column","line 1212 field(s) 1 2 4 5 6 7 8 9 10 = '0    6' '0    7' '0    5' '0    3' '0    8' '0    6' '0    9' '0   26' '0   16'"
"northamerica/canada/cana320.rwl",NA,NA,"Readers disagree","readers return different values","9 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/canada/cana320.rwl","PT12N1A",1810,"Readers disagree","value shifted out of column","line 815 field(s) 10 = '0   27'"
"northamerica/canada/cana326.rwl","NRX14B",1252,"Readers disagree","one ID starts a second block","blocks begin at 1252 and 1350; two series share this ID"
"northamerica/canada/cana326.rwl","NRX14A",1490,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1490 but the ID continues; blocks overlap by 195 year(s)"
"northamerica/canada/cana335.rwl","EL05A",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 477 year(s)"
"northamerica/canada/cana335.rwl","EL05C",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 389 year(s)"
"northamerica/canada/cana336.rwl","OMR03B",1767,"Readers disagree","one ID starts a second block","blocks begin at 1767 and 1925; two series share this ID"
"northamerica/canada/cana336.rwl","OLM04A",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 641 year(s)"
"northamerica/canada/cana336.rwl","OLM11A",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 621 year(s)"
"northamerica/canada/cana336.rwl","OLM12A",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 270 year(s)"
"northamerica/canada/cana336.rwl","OLM14B",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 599 year(s)"
"northamerica/canada/cana336.rwl","OMR05A",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 454 year(s)"
"northamerica/canada/cana348.rwl","sr02b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 239 year(s)"
"northamerica/canada/cana349.rwl","sh18a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 267 year(s)"
"northamerica/canada/cana419.rwl","U9115S",1990,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1990 but the ID continues; blocks overlap by 423 year(s)"
"northamerica/canada/cana419.rwl","U9122E",1990,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1990 but the ID continues; blocks overlap by 419 year(s)"
"northamerica/canada/cana540.rwl","OC9-11a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 383 year(s)"
"northamerica/canada/cana540.rwl","OC9-11b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 383 year(s)"
"northamerica/canada/cana540.rwl","OC9-12a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 386 year(s)"
"northamerica/canada/cana540.rwl","OC9-12b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 386 year(s)"
"northamerica/canada/cana540.rwl","OC9-13a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 385 year(s)"
"northamerica/canada/cana540.rwl","OC9-13b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 385 year(s)"
"northamerica/canada/cana540.rwl","OC9-14a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 375 year(s)"
"northamerica/canada/cana540.rwl","OC9-14b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 375 year(s)"
"northamerica/canada/cana540.rwl","OC9-15a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 388 year(s)"
"northamerica/canada/cana540.rwl","OC9-15b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 388 year(s)"
"northamerica/canada/cana540.rwl","OC9-16a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 353 year(s)"
"northamerica/canada/cana540.rwl","OC9-16b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 353 year(s)"
"northamerica/canada/cana566.rwl","BCW002D",1910,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1910 but the ID continues; blocks overlap by 166 year(s)"
"northamerica/canada/cana588.rwl","moo07b	1",800,"Readers disagree","embedded tab","line 24 has a tab; read.tucson shifts this decade and drops its last value"
"northamerica/canada/cana588.rwl","moo07b	2",0,"Readers disagree","embedded tab","line 44 has a tab; read.tucson shifts this decade and drops its last value"
"northamerica/canada/cana611.rwl","295A",2010,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2010 but the ID continues; blocks overlap by 155 year(s)"
"northamerica/mexico/mex125.rwl",NA,NA,"Readers disagree","readers return different values","20 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/mexico/mex125.rwl","NIH14B",1990,"Readers disagree","value shifted out of column","line 133 field(s) 7 8 9 10 = '0  245' '0  291' '0  384' '0  338'"
"northamerica/mexico/mexi028l.rwl","TAB15BLW",1930,"Readers disagree","embedded tab","line 237 has a tab; read.tucson shifts this decade and drops its last value"
"northamerica/usa/ak159.rwl",NA,NA,"Readers disagree","readers return different values","10 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/ak159.rwl","F028Bn04",1970,"Readers disagree","value shifted out of column","line 147 field(s) 6 = '4   90'"
"northamerica/usa/ak160.rwl",NA,NA,"Readers disagree","readers return different values","40 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/ak160.rwl","BCEFPt09",1830,"Readers disagree","value shifted out of column","line 78 field(s) 9 10 = '2  149' '1 1418'"
"northamerica/usa/ak160.rwl","BCEFPt14",1960,"Readers disagree","value shifted out of column","line 166 field(s) 10 = '5  151'"
"northamerica/usa/az143.rwl",NA,NA,"Readers disagree","readers return different values","8 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/az606.rwl",NA,NA,"Readers disagree","readers return different values","251 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/az606.rwl","RMP012",1910,"Readers disagree","value shifted out of column","line 450 field(s) 5 = '6  142'"
"northamerica/usa/az606.rwl","RMP151",1720,"Readers disagree","value shifted out of column","line 1143 field(s) 8 = '7  196'"
"northamerica/usa/az606.rwl","RMP152",1730,"Readers disagree","value shifted out of column","line 1171 field(s) 8 = '9   98'"
"northamerica/usa/az615.rwl","AZP0310A",1990,"Readers disagree","lines run together","line 124 is 72 chars and holds non-numeric text in a measurement field"
"northamerica/usa/az615.rwl","AZP0310B",1950,"Readers disagree","lines run together","line 129 is 72 chars and holds non-numeric text in a measurement field"
"northamerica/usa/ca667.rwl","ST850A",-662,"Readers disagree","one ID starts a second block","blocks begin at -662 and -137; two series share this ID"
"northamerica/usa/ca717.rwl","DSQ411",1880,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1880 but the ID continues; blocks overlap by 2105 year(s)"
"northamerica/usa/co622.rwl","rus101",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 452 year(s)"
"northamerica/usa/co622.rwl","rus103",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 440 year(s)"
"northamerica/usa/co637.rwl","ccc063",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 510 year(s)"
"northamerica/usa/co637.rwl","ccc072",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 527 year(s)"
"northamerica/usa/co660.rwl","ccc063",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 510 year(s)"
"northamerica/usa/co660.rwl","ccc072",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 527 year(s)"
"northamerica/usa/co691.rwl","wpx151",-198,"Readers disagree","embedded tab","line 654 has a tab; read.tucson shifts this decade and drops its last value"
"northamerica/usa/mi036.rwl","HMCYB20B",2000,"Readers disagree","value shifted out of column","line 501 field(s) 8 = '0   28'"
"northamerica/usa/mo045.rwl","019",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 249 year(s)"
"northamerica/usa/mo047.rwl","LM007a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 500 year(s)"
"northamerica/usa/mo047.rwl","LM009a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 518 year(s)"
"northamerica/usa/nm603.rwl","905203",1190,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1190 but the ID continues; blocks overlap by 501 year(s)"
"northamerica/usa/nm604.rwl","101401",1104,"Readers disagree","one ID starts a second block","blocks begin at 1104 and 1140; two series share this ID"
"northamerica/usa/nv520.rwl","MW036a",1126,"Readers disagree","one ID starts a second block","blocks begin at 1126 and 1640; two series share this ID"
"northamerica/usa/nv520.rwl","MW036b",1135,"Readers disagree","one ID starts a second block","blocks begin at 1135 and 1626; two series share this ID"
"northamerica/usa/nv520.rwl","MW037b",859,"Readers disagree","one ID starts a second block","blocks begin at 859 and 1242; two series share this ID"
"northamerica/usa/nv520.rwl","MW069x",289,"Readers disagree","one ID starts a second block","blocks begin at 289 and 695; two series share this ID"
"northamerica/usa/nv520.rwl","MW286a",865,"Readers disagree","one ID starts a second block","blocks begin at 865 and 1104; two series share this ID"
"northamerica/usa/nv520.rwl","MW306a",1137,"Readers disagree","one ID starts a second block","blocks begin at 1137 and 1272; two series share this ID"
"northamerica/usa/nv521.rwl","PP101A",451,"Readers disagree","one ID starts a second block","blocks begin at 451 and 631; two series share this ID"
"northamerica/usa/nv521.rwl","PP102A",-442,"Readers disagree","one ID starts a second block","blocks begin at -442 and -39; two series share this ID"
"northamerica/usa/nv521.rwl","PP105B",835,"Readers disagree","one ID starts a second block","blocks begin at 835 and 1204; two series share this ID"
"northamerica/usa/nv521.rwl","PP365b",-343,"Readers disagree","one ID starts a second block","blocks begin at -343 and 205; two series share this ID"
"northamerica/usa/ny003.rwl","367101",1970,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 1970 but the ID continues; blocks overlap by 284 year(s)"
"northamerica/usa/ok022e.rwl",NA,NA,"Readers disagree","readers return different values","10 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/ok022e.rwl","LAO42AEW",1810,"Readers disagree","value shifted out of column","line 750 field(s) 8 = '0  555'"
"northamerica/usa/ok040.rwl","LDF1004A",1880,"Readers disagree","one ID starts a second block","blocks begin at 1880 and 1948; two series share this ID"
"northamerica/usa/ok049e.rwl",NA,NA,"Readers disagree","readers return different values","10 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/ok049e.rwl","LIN416A",1970,"Readers disagree","value shifted out of column","line 3898 field(s) 4 = '0  894'"
"northamerica/usa/ok051.rwl",NA,NA,"Readers disagree","readers return different values","12 value(s) read.tucson missed"
"northamerica/usa/or005.rwl",NA,NA,"Readers disagree","readers return different values","22 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/sc008l.rwl",NA,NA,"Readers disagree","readers return different values","10 non-zero value(s) read.tucson2 refused as ambiguous"
"northamerica/usa/sc008l.rwl","LOL20B",1980,"Readers disagree","value shifted out of column","line 173 field(s) 4 = '1    0'"
