"file","category","n_findings","checks","species","n_series","n_cells","yr_first","yr_last"
"asia/russ209.rwl","Readers disagree",13,"interior year gap; one ID carries two separate segments; one ID starts a second block; stop marker mid-series, series continues immediately","Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",27,3383,1776,2001
"australia/newz019.rwl","Readers disagree",13,"interior year gap; one ID carries two separate segments; one ID starts a second block; series ID reused with overlapping years","Libocedrus bidwillii Hook. f.",34,13607,1346,1976
"northamerica/canada/cana320.rwl","Readers disagree",13,"interior year gap; one ID carries two separate segments; readers return different values; stop marker mid-series, series continues immediately; value shifted out of column","White Sp",72,18066,1426,1994
"northamerica/canada/cana336.rwl","Readers disagree",13,"interior year gap; one ID carries two separate segments; one ID starts a second block; series ID reused with overlapping years","Douglas-",80,26364,1203,2007
"southamerica/chil012.rwl","Readers disagree",13,"interior year gap; one ID carries two separate segments; one ID starts a second block; stop marker mid-series, series continues immediately","Araucaria araucana (Molina) K. Koch",42,13086,1239,1975
"asia/japa018.rwl","Readers disagree",12,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; series ID reused with overlapping years; stop marker mid-series, series continues immediately","Cryptomeria japonica (Thunb. ex L.f.) D. Don",36,8827,969,2005
"northamerica/usa/nv521.rwl","Readers disagree",12,"interior year gap; one ID carries two separate segments; one ID starts a second block","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva",147,83979,-2649,2002
"asia/russ218.rwl","Readers disagree",11,"interior year gap; one ID carries two separate segments; readers return different values; series ID reused with overlapping years; value shifted out of column","Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",34,13487,1398,1997
"southamerica/arge041.rwl","Readers disagree",11,"interior year gap; one ID carries two separate segments; one ID starts a second block; readers return different values; value shifted out of column","Juglans australis Griseb.",39,3621,1783,1982
"southamerica/chil013.rwl","Readers disagree",11,"interior year gap; one ID carries two separate segments; one ID starts a second block; series ID reused with overlapping years","Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri",74,15527,1568,1975
"asia/nepa045.rwl","Readers disagree",10,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; series ID reused with overlapping years; stop marker mid-series, series continues immediately","Picea smithiana (Wall.) Boiss.",96,21831,1591,2012
"australia/ausl002.rwl","Readers disagree",10,"interior year gap; one ID carries two separate segments; one ID starts a second block","Athrotaxis selaginoides D. Don",35,12149,1198,1975
"southamerica/arge091.rwl","Readers disagree",10,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Fitzroya cupressoides (Molina) I.M. Johnst.",30,22649,320,1993
"asia/japa018x.rwl","Readers disagree",9,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years; stop marker mid-series, series continues immediately","Cryptomeria japonica (Thunb. ex L.f.) D. Don",28,6546,1215,2005
"australia/newz007.rwl","Readers disagree",9,"interior year gap; one ID carries two separate segments; one ID starts a second block","Libocedrus bidwillii Hook. f.",40,9592,1446,1958
"northamerica/canada/can712.rwl","Readers disagree",9,"lines run together; readers return different values; value shifted out of column","Larix laricina (Du Roi) K. Koch",74,12292,1691,1990
"northamerica/usa/ut550.rwl","Readers disagree",8,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva",110,76229,-504,2014
"australia/ausl053.rwl","Readers disagree",7,"interior year gap; one ID carries two separate segments; only one reader can open it; value shifted out of column","Lagarostrobus franklinii (Hook. f.) Quinn",287,146817,-2145,2009
"australia/newz005.rwl","Readers disagree",7,"interior year gap; one ID carries two separate segments; one ID starts a second block","Dacrydium colensoi Hook. = Manoao colensoi (Hook.) Molloy",33,10698,1403,1976
"europe/grc034.rwl","Readers disagree",7,"blank inside series ID; embedded tab; ID fills all 8 columns; interior year gap; one ID starts a second block; readers return different values","Pinus nigra J.F. Arnold",79,20880,1584,2010
"northamerica/canada/cana326.rwl","Readers disagree",7,"blank inside series ID; duplicate series IDs; file mixes precision flags across series; ID fills all 8 columns; interior year gap; one ID starts a second block; series ID reused with overlapping years","White Sp",218,57491,1067,2002
"northamerica/usa/az606.rwl","Readers disagree",7,"file mixes precision flags across series; interior year gap; readers return different values; stop marker mid-series, series continues immediately; value shifted out of column","Pinus ponderosa Douglas ex C. Lawson",46,11347,1621,2016
"australia/newz011.rwl","Readers disagree",6,"interior year gap; one ID carries two separate segments; one ID starts a second block","Dacrydium colensoi Hook. = Manoao colensoi (Hook.) Molloy",36,13639,1464,1976
"northamerica/canada/cana335.rwl","Readers disagree",6,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Limber P",36,11307,1450,2004
"northamerica/canada/cana419.rwl","Readers disagree",6,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Larix lyallii Parl.",46,17797,1257,1990
"northamerica/usa/co637.rwl","Readers disagree",6,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Pinus edulis Engelm.",38,9361,1450,2003
"northamerica/usa/co660.rwl","Readers disagree",6,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Pinus edulis Engelm.",51,11574,1450,2013
"northamerica/usa/mi036.rwl","Readers disagree",6,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; value shifted out of column","Betula alleghaniensis",57,5989,1789,2017
"asia/chin037.rwl","Readers disagree",5,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Picea likiangensis (Franchet) Pritzel",38,11408,1429,2005
"asia/mng044.rwl","Readers disagree",5,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; readers return different values; value shifted out of column","Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.",168,66373,-654,2011
"northamerica/canada/can697.rwl","Readers disagree",5,"lines run together; readers return different values; value shifted out of column","Larix laricina (Du Roi) K. Koch",92,14964,1725,1992
"northamerica/usa/az615.rwl","Readers disagree",5,"ID fills all 8 columns; interior year gap; lines run together","Pinus edulis Engelm.",28,1958,1922,2016
"northamerica/usa/ok040.rwl","Readers disagree",5,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; one ID starts a second block","Quercus shumardii Buckl.",43,2104,1883,2013
"europe/fran009.rwl","Readers disagree",4,"blank inside series ID; interior year gap; one ID carries two separate segments; one ID starts a second block","Larix decidua Mill.",99,30833,988,1974
"northamerica/canada/cana588.rwl","Readers disagree",4,"blank inside series ID; embedded tab; ID fills all 8 columns","Pseudotsuga menziesii (Mirb.) Franco",28,5430,1579,2007
"northamerica/usa/ak160.rwl","Readers disagree",4,"ID fills all 8 columns; readers return different values; value shifted out of column","Populus tremuloides Michx.",111,10584,1825,2015
"northamerica/usa/co622.rwl","Readers disagree",4,"interior year gap; series ID reused with overlapping years","Pinus ponderosa Douglas ex C. Lawson",37,11058,1436,2002
"northamerica/usa/mo047.rwl","Readers disagree",4,"interior year gap; series ID reused with overlapping years","Quercus spp. L.",252,35502,986,2004
"northamerica/usa/or005.rwl","Readers disagree",4,"interior year gap; readers return different values","Pinus ponderosa Douglas ex C. Lawson",20,5234,1591,1965
"asia/bt006.rwl","Readers disagree",3,"ID fills all 8 columns; interior year gap; series ID reused with overlapping years","Picea spinulosa (Griff.) Beissn.",17,5501,1400,2005
"asia/mong030.rwl","Readers disagree",3,"interior year gap; one ID carries two separate segments; one ID starts a second block","Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.",44,13872,1432,1998
"australia/aus127.rwl","Readers disagree",3,"ID fills all 8 columns; readers return different values; value shifted out of column","Phyllocladus aspleniifolius (Labill.) Hook. f.",151,44473,1525,2012
"australia/ausl045.rwl","Readers disagree",3,"embedded tab; ID fills all 8 columns; readers return different values","Athrotaxis selaginoides D. Don",50,22895,954,2011
"australia/newz008.rwl","Readers disagree",3,"interior year gap; one ID carries two separate segments; one ID starts a second block","Agathis australis (D. Don) Loudon",34,6187,1711,1976
"australia/newz016.rwl","Readers disagree",3,"interior year gap; one ID starts a second block","Libocedrus bidwillii Hook. f.",47,7190,1732,1976
"europe/germ4.rwl","Readers disagree",3,"interior year gap; one ID starts a second block; very short series","Abies alba Mill.",25,4938,1541,1964
"northamerica/mexico/mexi028l.rwl","Readers disagree",3,"embedded tab; file median far from genus median; ID fills all 8 columns","Pseudotsuga menziesii (Mirb.) Franco",72,12322,1583,1993
"northamerica/usa/ak159.rwl","Readers disagree",3,"ID fills all 8 columns; readers return different values; value shifted out of column","Betula papyrifera var. neoalaskana (Sarg.) Raup",231,16928,1829,2015
"northamerica/usa/az143.rwl","Readers disagree",3,"interior year gap; readers return different values","Pinus ponderosa Douglas ex C. Lawson",28,7225,1643,1972
"northamerica/usa/ca667.rwl","Readers disagree",3,"interior year gap; one ID carries two separate segments; one ID starts a second block","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva",310,142507,-2649,2005
"northamerica/usa/ok022e.rwl","Readers disagree",3,"ID fills all 8 columns; readers return different values; value shifted out of column","Quercus stellata Wangenh.",80,13217,1698,1995
"northamerica/usa/ok049e.rwl","Readers disagree",3,"interior year gap; readers return different values; value shifted out of column","Pinus echinata Mill.",442,43518,1744,2020
"northamerica/usa/va024.rwl","Readers disagree",3,"embedded tab; readers return different values","Tsuga canadensis (L.) Carr.",52,5542,1756,1997
"southamerica/arg155.rwl","Readers disagree",3,"interior year gap; one ID carries two separate segments; one ID starts a second block","Juglans australis Griseb.",104,11220,1646,1994
"southamerica/arge016.rwl","Readers disagree",3,"interior year gap; one ID carries two separate segments; one ID starts a second block","Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri",33,4307,1700,1974
"southamerica/arge065.rwl","Readers disagree",3,"interior year gap; readers return different values","Araucaria araucana (Molina) K. Koch",22,6159,1385,1983
"southamerica/arge085.rwl","Readers disagree",3,"interior year gap; one ID carries two separate segments; one ID starts a second block","Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri",30,4075,1700,1974
"africa/mar047.rwl","Readers disagree",2,"readers return different values; value shifted out of column","Cedrus atlantica (Endl.) Manetti ex Carrière",20,3220,1720,2011
"asia/russ219.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Quercus mongolica Fisch. ex Turcz.",34,10236,1585,2000
"australia/ausl051.rwl","Readers disagree",2,"interior year gap; lines run together","Toona ciliata",53,3880,1812,2000
"europe/prt004.rwl","Readers disagree",2,"embedded tab; readers return different values","Quercus suber L.",8,752,1905,2022
"europe/roma009.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Picea abies (L.) H. Karst.",82,9517,1768,2004
"northamerica/canada/cana348.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","White Sp",11,2399,1752,2004
"northamerica/canada/cana349.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Jack Pin",21,5350,1733,2004
"northamerica/canada/cana566.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Pseudotsuga menziesii (Mirb.) Franco",61,12445,1525,2012
"northamerica/mexico/mex125.rwl","Readers disagree",2,"readers return different values; value shifted out of column","Pinus oocarpa Schiede",42,2273,1912,2014
"northamerica/usa/ca717.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Sequoiadendron giganteum (Lindl.) Buchholz",77,38529,-1095,2012
"northamerica/usa/mo045.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Pinus echinata Mill.",106,13271,1616,2002
"northamerica/usa/nm603.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Pinus ponderosa Douglas ex C. Lawson",139,36038,532,1988
"northamerica/usa/nm604.rwl","Readers disagree",2,"interior year gap; one ID starts a second block","Pinus spp. L.",62,10875,1104,1989
"northamerica/usa/ny003.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Quercus prinus L.",46,8266,1690,1973
"northamerica/usa/ok051.rwl","Readers disagree",2,"file mixes precision flags across series; readers return different values","Quercus stellata Wangenh.",63,10684,1675,2020
"northamerica/usa/sc008l.rwl","Readers disagree",2,"readers return different values; value shifted out of column","Pinus palustris Mill.",38,3965,1636,2017
"northamerica/usa/ut562.rwl","Readers disagree",2,"embedded tab; ID fills all 8 columns","Pinus edulis Engelm.",28,3022,1890,2016
"northamerica/usa/ut567.rwl","Readers disagree",2,"embedded tab","Pseudotsuga menziesii (Mirb.) Franco",16,1333,1898,1998
"northamerica/usa/ut569.rwl","Readers disagree",2,"embedded tab","Pseudotsuga menziesii (Mirb.) Franco",33,4683,1802,1999
"northamerica/usa/wa135.rwl","Readers disagree",2,"interior year gap; series ID reused with overlapping years","Larix lyallii Parl.",23,7880,1336,2005
"asia/chin067.rwl","Readers disagree",1,"only one reader can open it","Juniperus przewalskii Komarov = Sabina przewalskii Komarov",597,442586,-2637,2011
"asia/chin069.rwl","Readers disagree",1,"only one reader can open it","Juniperus przewalskii Komarov = Sabina przewalskii Komarov",173,93813,-1495,808
"australia/ausl024.rwl","Readers disagree",1,"only one reader can open it","Lagarostrobus franklinii (Hook. f.) Quinn",305,171621,-2145,1990
"europe/brit036.rwl","Readers disagree",1,"only one reader can open it","Quercus spp. L.",24,4613,-3776,-3016
"europe/brit037.rwl","Readers disagree",1,"only one reader can open it","Pinus sylvestris L.",76,7738,-2920,-2444
"europe/brit039.rwl","Readers disagree",1,"only one reader can open it","Pinus sylvestris L.",52,5320,-1689,-1488
"europe/finl005.rwl","Readers disagree",1,"readers return different values","Pinus sylvestris L.",40,10979,1589,1984
"europe/swed334.rwl","Readers disagree",1,"only one reader can open it","Pinus sylvestris L.",945,171574,-5407,2010
"europe/turk044.rwl","Readers disagree",1,"only one reader can open it","Juniperus spp. L.",43,3512,-1954,-1785
"europe/turk045.rwl","Readers disagree",1,"only one reader can open it","Juniperus spp. L.",46,3699,-2084,-1821
"europe/turk046.rwl","Readers disagree",1,"only one reader can open it","Juniperus spp. L.",23,3333,-1911,-1565
"northamerica/canada/cana611.rwl","Readers disagree",1,"series ID reused with overlapping years","Pseudotsuga menziesii (Mirb.) Franco",235,17989,1862,2017
"northamerica/usa/ut563.rwl","Readers disagree",1,"embedded tab","Pseudotsuga menziesii (Mirb.) Franco",38,3760,1886,1999
"northamerica/usa/ut566.rwl","Readers disagree",1,"embedded tab","Pseudotsuga menziesii (Mirb.) Franco",18,1151,1912,1998
"northamerica/usa/ut568.rwl","Readers disagree",1,"embedded tab","Pseudotsuga menziesii (Mirb.) Franco",32,4072,1842,1999
"northamerica/usa/wy002.rwl","Readers disagree",1,"one ID starts a second block","Pinus flexilis E. James",25,7302,1492,1972
"northamerica/usa/ok043.rwl","Worth a second look",231,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately; very short series","Pinus echinata Mill.",171,9507,1772,1912
"southamerica/arge144.rwl","Worth a second look",52,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Fitzroya cupressoides (Molina) I.M. Johnst.",179,90978,836,2011
"asia/japa016x.rwl","Worth a second look",39,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga diversifolia (Maxim.) Mast.",35,6462,1614,2001
"northamerica/usa/ak096.rwl","Worth a second look",26,"file mixes precision flags across series; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga mertensiana (Bong.) Carrière",806,193012,616,2002
"asia/japa012.rwl","Worth a second look",22,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Picea glehnii (Fr. Schmidt) Mast.",39,9450,1500,1991
"asia/kyrg013.rwl","Worth a second look",22,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Picea schrenkiana Fisch. & C.A. Mey.",104,25314,1301,2006
"asia/japa017.rwl","Worth a second look",21,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately; very short series","Cryptomeria japonica (Thunb. ex L.f.) D. Don",99,14400,982,2002
"europe/swit285.rwl","Worth a second look",19,"ID fills all 8 columns; very short series","Picea abies (L.) H. Karst.",324,23456,1829,1993
"southamerica/arge140.rwl","Worth a second look",18,"interior year gap; one ID carries two separate segments; series median far from rest of file; stop marker mid-series, series continues immediately","Nothofagus pumilio (Poepp. & Endl.) Reiche",138,18423,962,2011
"asia/japa020.rwl","Worth a second look",13,"stop marker mid-series, series continues immediately","Cryptomeria japonica (Thunb. ex L.f.) D. Don",46,22177,1,1999
"northamerica/mexico/mexi014.rwl","Worth a second look",13,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Pseudotsuga menziesii (Mirb.) Franco",50,9267,1642,1971
"europe/swit290.rwl","Worth a second look",12,"ID fills all 8 columns; very short series","Picea abies (L.) H. Karst.",303,17573,1863,1992
"northamerica/mexico/mexi028e.rwl","Worth a second look",12,"ID fills all 8 columns; series median far from rest of file","Pseudotsuga menziesii (Mirb.) Franco",76,14831,1583,1993
"northamerica/usa/co603.rwl","Worth a second look",11,"file mixes precision flags across series; interior year gap; one ID carries two separate segments","Pseudotsuga menziesii (Mirb.) Franco",55,13854,1541,2003
"europe/fran011.rwl","Worth a second look",10,"blank inside series ID; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Larix decidua Mill.",52,12062,1516,1973
"northamerica/mexico/mexi025e.rwl","Worth a second look",10,"ID fills all 8 columns; series median far from rest of file","Pseudotsuga menziesii (Mirb.) Franco",48,8597,1644,1993
"europe/swit277.rwl","Worth a second look",9,"ID fills all 8 columns; very short series","Picea abies (L.) H. Karst.",294,17717,1808,1993
"northamerica/usa/ak027.rwl","Worth a second look",9,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga mertensiana (Bong.) Carrière",24,5114,1709,1990
"northamerica/usa/mt170.rwl","Worth a second look",9,"very short series","Populus deltoides Bartr. ex Marsh.",408,33772,1740,2013
"australia/aus128.rwl","Worth a second look",8,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; series median far from rest of file","Lagarostrobos franklinii (Hook. f.) Quinn",109,54935,462,2012
"northamerica/usa/ak112.rwl","Worth a second look",8,"file mixes precision flags across series; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga mertensiana (Bong.) Carrière",302,95049,1247,2002
"asia/indi002l.rwl","Worth a second look",7,"file median far from genus median; interior year gap; one ID carries two separate segments","Abies pindrow (Royle ex D. Don) Royle",13,2993,1620,1980
"europe/nor035.rwl","Worth a second look",7,"ID fills all 8 columns; very short series","Pinus sylvestris L.",101,11600,1755,2013
"northamerica/canada/cana175.rwl","Worth a second look",7,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Chamaecyparis nootkatensis (D. Don) Spach",81,48071,1200,1999
"northamerica/usa/tn008.rwl","Worth a second look",7,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Quercus alba L.",67,15971,1633,1980
"asia/japa012x.rwl","Worth a second look",6,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Picea glehnii (Fr. Schmidt) Mast.",38,9445,1500,1991
"europe/nor033.rwl","Worth a second look",6,"ID fills all 8 columns; very short series","Pinus sylvestris L.",101,8167,1775,2011
"europe/swe354.rwl","Worth a second look",6,"ID fills all 8 columns; very short series","Pinus sylvestris L.",98,10136,1700,2013
"europe/swe355.rwl","Worth a second look",6,"ID fills all 8 columns; very short series","Picea abies (L.) H. Karst.",95,6327,1783,2013
"northamerica/canada/cana352.rwl","Worth a second look",6,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Subalpin",52,15924,1069,1993
"northamerica/mexico/mexi025l.rwl","Worth a second look",6,"file median far from genus median; ID fills all 8 columns; series median far from rest of file","Pseudotsuga menziesii (Mirb.) Franco",40,6863,1644,1993
"northamerica/usa/ak028.rwl","Worth a second look",6,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga mertensiana (Bong.) Carrière",42,14814,1412,1991
"northamerica/usa/mt165.rwl","Worth a second look",6,"very short series","Populus deltoides Bartr. ex Marsh.",393,34460,1729,2012
"asia/indi003l.rwl","Worth a second look",5,"file median far from genus median; interior year gap; one ID carries two separate segments","Abies pindrow (Royle ex D. Don) Royle",11,2168,1668,1980
"asia/indi006l.rwl","Worth a second look",5,"file median far from genus median; interior year gap; one ID carries two separate segments","Abies pindrow (Royle ex D. Don) Royle",16,2662,1654,1981
"asia/indi007l.rwl","Worth a second look",5,"file median far from genus median; interior year gap; one ID carries two separate segments","Abies pindrow (Royle ex D. Don) Royle",14,2537,1682,1981
"australia/aus124e.rwl","Worth a second look",5,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; series median far from rest of file; trailing text in field 11","Athrotaxis selaginoides D. Don",139,54032,700,2011
"europe/nor034.rwl","Worth a second look",5,"ID fills all 8 columns; very short series","Pinus sylvestris L.",104,11680,1767,2013
"northamerica/canada/cana356.rwl","Worth a second look",5,"file mixes precision flags across series; interior year gap; one ID carries two separate segments","Whitebar",96,35315,1000,1999
"northamerica/canada/cana430.rwl","Worth a second look",5,"file mixes precision flags across series; interior year gap; one ID carries two separate segments","Picea engelmannii Parry ex Engelm.",215,54084,920,1987
"northamerica/usa/ak029.rwl","Worth a second look",5,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga mertensiana (Bong.) Carrière",20,3447,1727,1989
"northamerica/usa/ak196.rwl","Worth a second look",5,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Tsuga mertensiana (Bong.) Carrière",55,15288,1517,2009
"northamerica/usa/mo078.rwl","Worth a second look",5,"file mixes precision flags across series; interior year gap; one ID carries two separate segments","Quercus alba L.",83,14576,1641,2015
"asia/kyrg012.rwl","Worth a second look",4,"file mixes precision flags across series; interior year gap; one ID carries two separate segments; series median far from rest of file","Picea schrenkiana Fisch. & C.A. Mey.",39,10728,1450,2005
"asia/kyrg015.rwl","Worth a second look",4,"file mixes precision flags across series; interior year gap; one ID carries two separate segments; series median far from rest of file","Picea schrenkiana Fisch. & C.A. Mey.",21,5996,1528,2005
"europe/swed332.rwl","Worth a second look",4,"ID fills all 8 columns; trailing text in field 11; very short series","Pinus sylvestris L.",96,8594,1796,2006
"europe/tur091t.rwl","Worth a second look",4,"file median far from genus median; ID fills all 8 columns; interior year gap; one ID carries two separate segments","Pinus sylvestris L.",69,15043,1619,2022
"northamerica/canada/cana234e.rwl","Worth a second look",4,"file mixes precision flags across series; ID fills all 8 columns; interior year gap; one ID carries two separate segments","Picea engelmannii Parry ex Engelm.",35,8547,1512,1997
"northamerica/canada/cana234l.rwl","Worth a second look",4,"file mixes precision flags across series; ID fills all 8 columns; interior year gap; one ID carries two separate segments","Picea engelmannii Parry ex Engelm.",35,8547,1512,1997
"northamerica/usa/ak075.rwl","Worth a second look",4,"file mixes precision flags across series; ID fills all 8 columns; interior year gap; one ID carries two separate segments","Picea glauca (Moench) Voss",34,8152,1580,1998
"northamerica/usa/il025.rwl","Worth a second look",4,"file mixes precision flags across series; series median far from rest of file","Quercus spp. L.",104,13710,1721,2014
"asia/japa013x.rwl","Worth a second look",3,"interior year gap; one ID carries two separate segments; stop marker mid-series, series continues immediately","Picea glehnii (Fr. Schmidt) Mast.",49,8453,1575,1999
"asia/russ210.rwl","Worth a second look",3,"blank inside series ID; file median far from genus median; ID fills all 8 columns","Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",10,1877,1664,1991
"europe/che615.rwl","Worth a second look",3,"ID fills all 8 columns; very short series","Larix decidua Mill.",112,8471,1857,2011
"europe/deu317.rwl","Worth a second look",3,"ID fills all 8 columns; stop marker mid-series, series continues immediately","Quercus spp. L.",26,7274,1694,2016
"europe/deu343.rwl","Worth a second look",3,"ID fills all 8 columns; series median far from rest of file","Fagus sylvatica L.",127,9573,1935,2019
"europe/fin100.rwl","Worth a second look",3,"ID fills all 8 columns; very short series","Pinus sylvestris L.",95,12239,1674,2013
"europe/finl080.rwl","Worth a second look",3,"ID fills all 8 columns; very short series","Pinus sylvestris L.",99,9563,1747,2011
"europe/finl081.rwl","Worth a second look",3,"ID fills all 8 columns; very short series","Pinus sylvestris L.",101,12073,1729,2011
"europe/finl083.rwl","Worth a second look",3,"ID fills all 8 columns; very short series","Pinus sylvestris L.",170,23155,1700,2011
"europe/finl095.rwl","Worth a second look",3,"ID fills all 8 columns; very short series","Pinus sylvestris L.",93,8681,1840,2011
