# Wiles - Salmonberry Knoll - TSME - ITRDB AK225
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44492
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44492.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak225-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak225.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak225.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2026-03-03
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-03
#--------------------
# Title
#   Study_Name: Wiles - Salmonberry Knoll - TSME - ITRDB AK225
#--------------------
# Investigators
#   Investigators: Wiles, G.; Wiesenberg, N.; Happ, M.; Starr, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Salmonberry Knoll
#   Location: Alaska
#   Northernmost_Latitude: 61.012
#   Southernmost_Latitude: 61.012
#   Easternmost_Longitude: -147.128
#   Westernmost_Longitude: -147.128
#   Elevation_m: 325
#--------------------
# Data_Collection
#   Collection_Name: AK225
#   First_Year: 1609
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Tsuga mertensiana (Bong.) Carrière
#   Common_Name: mountain hemlock
#   Tree_Species_Code: TSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SK02NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK02NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SK02NW_raw	SK03_raw	SK04B_raw	SK05_raw	SK07A_raw	SK08_raw	SK10B_raw	SK11_raw	SK12A_raw	SK14B_raw	SK15A_raw	SK16B_raw
1675	0.486	NA	NA	0.383	NA	0.705	NA	NA	NA	NA	0.605	NA
1676	0.231	NA	NA	0.413	NA	0.412	NA	NA	NA	NA	0.489	NA
1677	0.065	NA	NA	0.434	NA	0.191	NA	NA	NA	NA	0.206	NA
1678	0.122	NA	NA	0.645	NA	0.481	NA	NA	NA	NA	0.328	NA
1679	0.135	NA	NA	0.307	NA	0.285	NA	NA	NA	NA	0.241	NA
1680	0.265	NA	NA	0.445	NA	0.25	NA	NA	NA	NA	0.259	NA
1681	0.251	NA	NA	0.137	NA	0.294	NA	NA	NA	NA	0.434	NA
1682	0.265	NA	NA	0.107	NA	0.061	NA	NA	NA	NA	0.278	NA
1683	0.705	NA	NA	0.265	NA	0.508	NA	NA	NA	NA	0.655	NA
1684	0.624	NA	NA	0.477	NA	0.596	NA	NA	NA	NA	0.763	NA
1685	0.759	NA	NA	0.54	NA	0.784	NA	NA	NA	NA	0.821	NA
1686	0.448	NA	NA	0.679	NA	0.579	NA	NA	NA	NA	0.763	NA
1687	0.651	NA	NA	0.762	NA	0.385	NA	NA	NA	NA	0.763	NA
1688	0.745	NA	NA	0.637	NA	0.743	NA	NA	NA	NA	0.83	NA
1689	0.661	NA	NA	0.636	NA	0.711	NA	NA	NA	NA	0.968	NA
1690	0.653	NA	NA	0.425	NA	0.53	NA	NA	NA	NA	0.851	NA
1691	0.725	NA	NA	0.481	NA	0.649	NA	NA	NA	NA	0.908	NA
1692	0.771	NA	NA	0.753	NA	0.895	NA	NA	NA	NA	1.191	NA
1693	0.787	NA	NA	0.511	NA	1.144	NA	NA	NA	NA	1.155	NA
1694	0.849	NA	NA	0.458	NA	1.67	NA	NA	NA	NA	1.306	NA
1695	0.802	NA	NA	0.704	NA	1.269	NA	NA	NA	NA	0.558	NA
1696	0.429	NA	NA	0.439	NA	0.57	NA	NA	NA	NA	0.644	NA
1697	0.222	NA	NA	0.345	NA	0.385	NA	NA	NA	NA	0.351	NA
1698	0.174	NA	NA	0.139	NA	0.232	NA	NA	NA	NA	0.191	NA
1699	0.302	NA	NA	0.108	NA	0.1	NA	NA	NA	NA	0.1	NA
1700	0.413	NA	NA	0.185	NA	0.199	NA	NA	NA	NA	0.317	NA
1701	0.579	NA	NA	0.353	NA	0.311	NA	NA	NA	NA	0.47	NA
1702	0.373	NA	NA	0.396	NA	0.301	NA	NA	NA	NA	0.498	NA
1703	0.453	NA	NA	0.773	NA	0.402	NA	NA	NA	NA	0.548	NA
1704	0.58	NA	NA	0.601	NA	0.507	NA	NA	NA	NA	0.616	NA
1705	0.643	NA	NA	0.701	NA	0.444	NA	NA	NA	NA	0.635	NA
1706	0.262	NA	NA	0.35	NA	0.405	NA	NA	NA	NA	0.45	NA
1707	0.272	NA	NA	0.406	NA	0.431	NA	NA	NA	NA	0.508	NA
1708	0.088	NA	NA	0.99	NA	0.209	NA	NA	NA	NA	0.439	NA
1709	0.288	NA	NA	1.164	NA	0.081	NA	NA	NA	NA	0.116	NA
1710	0.224	NA	NA	0.941	NA	0.132	NA	NA	NA	NA	0.141	NA
1711	0.191	NA	NA	0.47	NA	0.333	NA	NA	NA	NA	0.26	NA
1712	0.349	NA	NA	0.816	NA	0.256	NA	NA	NA	NA	0.34	NA
1713	0.572	NA	NA	0.987	NA	0.54	NA	NA	NA	NA	0.712	NA
1714	0.293	NA	NA	1.003	NA	0.284	NA	NA	NA	NA	0.424	NA
1715	0.794	NA	NA	1.13	NA	0.635	NA	NA	NA	NA	0.996	NA
1716	0.27	NA	NA	0.44	NA	0.454	NA	NA	NA	NA	0.66	NA
1717	0.564	NA	NA	0.544	NA	0.611	NA	NA	NA	NA	0.856	NA
1718	0.762	NA	NA	0.748	NA	0.733	NA	NA	NA	NA	0.919	NA
1719	1.016	NA	NA	1.187	NA	0.824	NA	NA	NA	NA	1.035	NA
1720	0.849	NA	NA	0.771	NA	0.844	NA	NA	NA	NA	0.893	NA
1721	0.722	NA	NA	0.811	NA	0.81	NA	NA	NA	NA	1.054	NA
1722	0.715	NA	NA	0.911	NA	0.388	NA	NA	NA	NA	0.908	NA
1723	0.953	NA	NA	0.893	NA	0.9	NA	NA	NA	NA	1.681	NA
1724	0.564	NA	NA	0.887	NA	1.155	NA	NA	NA	NA	1.345	NA
1725	0.556	NA	NA	0.641	NA	0.98	NA	NA	NA	NA	0.629	NA
1726	0.328	NA	NA	0.599	NA	0.355	NA	NA	NA	NA	0.485	NA
1727	0.469	NA	NA	0.468	NA	0.686	NA	NA	NA	NA	0.5	NA
1728	0.706	NA	NA	0.787	NA	1.18	NA	NA	NA	NA	0.709	NA
1729	0.683	NA	NA	0.714	NA	1.116	NA	NA	NA	NA	0.916	NA
1730	0.278	NA	NA	0.704	NA	0.926	NA	NA	NA	NA	0.714	NA
1731	0.412	NA	NA	0.533	NA	0.594	NA	NA	NA	NA	0.359	NA
1732	0.652	NA	NA	0.618	NA	0.443	NA	NA	NA	NA	0.738	NA
1733	0.587	NA	NA	0.63	NA	0.723	NA	NA	NA	NA	1.015	NA
1734	0.581	NA	NA	0.768	NA	0.317	NA	NA	NA	NA	0.493	NA
1735	0.525	NA	NA	0.8	NA	0.436	NA	NA	NA	NA	0.531	NA
1736	0.39	NA	NA	1.103	NA	0.433	NA	NA	NA	NA	0.554	NA
1737	0.597	NA	NA	1.773	NA	0.597	NA	NA	NA	NA	0.595	NA
1738	0.359	NA	NA	1.6	NA	0.461	NA	NA	NA	NA	0.483	NA
1739	0.595	NA	NA	1.377	NA	1.055	NA	NA	NA	NA	0.683	NA
1740	0.365	NA	NA	0.392	NA	0.852	NA	NA	NA	NA	0.41	NA
1741	0.468	NA	NA	0.275	NA	0.904	NA	NA	NA	NA	0.637	NA
1742	0.564	NA	NA	0.329	NA	0.695	NA	NA	NA	NA	0.486	NA
1743	0.46	NA	NA	0.372	NA	0.658	NA	NA	NA	NA	0.414	NA
1744	0.326	NA	NA	0.19	NA	0.402	NA	NA	NA	NA	0.247	NA
1745	0.358	NA	NA	0.466	NA	0.478	NA	NA	NA	NA	0.414	NA
1746	0.39	NA	NA	0.307	NA	0.36	NA	NA	NA	NA	0.239	NA
1747	0.604	NA	NA	0.656	NA	0.862	NA	NA	NA	NA	0.843	NA
1748	0.532	NA	NA	0.839	NA	0.658	NA	NA	NA	NA	0.621	NA
1749	0.866	NA	NA	1.336	NA	0.87	NA	NA	NA	NA	0.864	NA
1750	0.858	NA	NA	0.849	NA	0.645	NA	NA	NA	NA	0.752	NA
1751	1.002	NA	NA	0.902	NA	0.7	NA	NA	0.741	NA	0.923	NA
1752	0.835	NA	NA	0.414	NA	0.492	NA	NA	1.02	NA	0.596	NA
1753	0.683	NA	NA	0.276	NA	0.469	NA	NA	0.911	NA	0.524	NA
1754	0.343	NA	NA	0.076	NA	0.341	NA	NA	0.605	NA	0.531	NA
1755	0.191	NA	NA	0.117	NA	0.299	NA	NA	0.542	NA	0.469	NA
1756	0.192	NA	NA	0.16	NA	0.369	NA	NA	0.647	NA	0.539	NA
1757	0.262	NA	0.508	0.223	NA	0.445	NA	NA	0.785	NA	0.596	NA
1758	0.301	NA	0.413	0.256	NA	0.649	NA	NA	0.998	NA	0.674	NA
1759	0.056	NA	0.461	0.456	NA	0.134	NA	NA	0.265	NA	0.612	NA
1760	0.198	0.679	0.728	0.839	NA	0.081	NA	NA	0.329	NA	0.365	NA
1761	0.335	0.916	1.271	1.199	NA	0.355	NA	NA	0.743	NA	0.476	NA
1762	0.309	0.849	1.025	0.956	NA	0.408	NA	NA	0.942	NA	0.46	NA
1763	0.422	1.053	1.081	1.05	NA	0.6	NA	NA	1.461	NA	0.659	NA
1764	0.342	0.683	0.431	0.521	NA	0.559	NA	NA	0.994	NA	0.445	NA
1765	0.461	0.92	1.063	0.912	NA	0.597	NA	NA	1.175	NA	0.73	NA
1766	0.35	0.808	0.758	0.637	NA	0.304	NA	NA	0.889	NA	0.516	NA
1767	0.533	0.846	1.088	0.679	NA	0.385	NA	NA	0.942	NA	0.675	NA
1768	0.42	0.643	0.54	0.361	NA	0.359	NA	NA	0.773	NA	0.46	NA
1769	0.486	0.834	0.712	0.425	NA	0.54	NA	NA	0.91	NA	0.643	NA
1770	0.325	1.062	0.626	0.33	NA	0.312	NA	NA	1.365	NA	0.645	NA
1771	0.222	1.282	0.828	0.584	NA	0.762	NA	NA	1.111	NA	1.151	NA
1772	0.381	1.487	1.057	0.712	NA	0.925	NA	NA	1.471	NA	1.104	NA
1773	0.175	1.019	0.709	0.542	NA	0.606	NA	NA	1.334	NA	0.849	NA
1774	0.333	1.365	1.291	0.71	NA	0.602	NA	NA	1.693	1.467	1.024	NA
1775	0.326	0.664	0.782	0.646	NA	0.412	NA	NA	0.805	0.845	0.651	NA
1776	0.309	0.824	0.944	0.563	NA	0.309	NA	NA	0.814	0.939	0.73	NA
1777	0.335	0.714	0.695	0.339	NA	0.318	NA	NA	0.381	0.845	0.485	NA
1778	0.619	0.912	1.04	0.402	NA	0.295	NA	NA	0.466	0.801	0.5	NA
1779	0.587	0.948	1.165	0.487	NA	0.419	NA	NA	0.614	0.814	0.485	NA
1780	0.874	1.044	1.569	0.529	NA	0.413	NA	NA	0.758	0.944	0.557	NA
1781	0.573	0.72	1.166	0.35	NA	0.47	NA	NA	0.661	1.015	0.5	NA
1782	0.437	0.779	1.072	0.254	NA	0.522	NA	NA	1.042	1.225	0.611	NA
1783	0.454	0.776	0.975	0.403	NA	0.375	NA	NA	1.107	1.298	0.604	NA
1784	0.263	0.767	0.688	0.478	NA	0.366	NA	NA	0.884	0.837	0.54	NA
1785	0.63	1.119	0.681	0.605	NA	0.644	NA	NA	1.281	1.293	0.714	NA
1786	0.352	0.815	0.587	0.371	NA	0.553	NA	NA	1.243	1	0.699	NA
1787	0.224	0.759	0.627	0.318	NA	0.736	NA	NA	1.007	0.746	0.627	NA
1788	0.392	0.84	0.631	0.455	NA	0.767	NA	NA	1.018	0.844	0.644	NA
1789	0.344	0.766	0.857	0.392	NA	0.64	NA	NA	0.984	0.734	0.582	NA
1790	0.396	0.45	0.368	0.308	NA	0.305	NA	NA	0.42	0.609	0.278	NA
1791	0.35	0.597	0.505	0.308	NA	0.337	NA	NA	0.844	1.301	0.398	NA
1792	0.524	0.741	1.058	0.486	NA	0.65	NA	NA	1.512	3.126	0.722	NA
1793	0.643	0.891	0.991	0.667	NA	0.877	NA	NA	1.703	2.839	0.865	NA
1794	0.509	0.748	0.861	0.54	NA	0.966	NA	NA	0.959	0.743	0.875	NA
1795	0.644	0.813	1.064	0.604	NA	1.073	NA	NA	1.034	1.046	0.89	NA
1796	0.389	0.616	0.725	0.561	NA	0.701	NA	NA	0.808	0.928	0.549	NA
1797	0.486	0.817	1.016	0.584	NA	1.155	NA	NA	1.246	1.493	0.891	NA
1798	0.575	0.779	0.801	0.583	NA	0.844	NA	NA	1.064	1.221	0.741	NA
1799	0.367	0.716	0.671	0.816	NA	0.664	NA	NA	0.75	0.928	0.78	NA
1800	0.215	0.541	0.364	NA	NA	0.603	NA	NA	0.761	1.015	0.612	NA
1801	0.311	0.631	0.544	NA	NA	0.753	NA	NA	0.793	0.958	0.543	NA
1802	0.398	0.938	0.545	NA	NA	0.504	NA	NA	1.114	1.332	0.463	NA
1803	0.421	0.865	0.42	NA	NA	0.574	NA	NA	1.263	1.394	0.704	NA
1804	0.667	1.095	0.714	NA	NA	0.991	NA	NA	1.688	1.797	0.903	NA
