# Dannenberg - Pammel State Park Update - QUAL - ITRDB IA042
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44564
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44564.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia042e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia042e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Dannenberg - Pammel State Park Update - QUAL - ITRDB IA042
#--------------------
# Investigators
#   Investigators: Dannenberg, M.P.; Martin, E.; Eckley, G.; Pearson, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia024
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 2001753
#--------------------
# Site_Information
#   Site_Name: Pammel State Park
#   Location: Iowa
#   Northernmost_Latitude: 41.292724
#   Southernmost_Latitude: 41.292724
#   Easternmost_Longitude: -94.06995839999999
#   Westernmost_Longitude: -94.06995839999999
#   Elevation_m: 340
#--------------------
# Data_Collection
#   Collection_Name: IA042
#   First_Year: 1783
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PAM02A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM04B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM04A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM06B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM03A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM02B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM07A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM06A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM05A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM07B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM05B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PAM02A_raw	PAM04B_raw	PAM04A_raw	PAM06B_raw	PAM03A_raw	PAM02B_raw	PAM07A_raw	PAM06A_raw	PAM05A_raw	PAM07B_raw	PAM05B_raw
1850	0.402	NA	NA	0.227	0.37	0.549	0.235	NA	NA	0.388	NA
1851	0.513	NA	NA	0.387	0.383	0.58	0.282	NA	NA	0.493	NA
1852	0.397	NA	NA	0.2	0.397	0.588	0.342	1.832	NA	0.326	NA
1853	0.415	NA	NA	0.274	0.328	0.499	0.331	1.907	NA	0.372	NA
1854	0.42	NA	NA	0.271	0.347	0.6	0.305	1.232	NA	0.419	NA
1855	0.471	NA	NA	0.252	0.325	0.48	0.253	0.465	NA	0.326	NA
1856	0.538	NA	NA	0.231	0.342	0.553	0.454	0.479	NA	0.482	NA
1857	0.407	NA	NA	0.211	0.345	0.479	0.243	0.133	NA	0.23	NA
1858	0.394	NA	NA	0.349	0.329	0.451	0.326	0.104	NA	0.37	NA
1859	0.577	NA	NA	0.258	0.428	0.458	0.351	0.48	NA	0.464	NA
1860	0.64	NA	NA	0.358	0.38	0.467	0.333	0.104	NA	0.397	NA
1861	0.602	NA	NA	0.22	0.352	0.595	0.282	0.043	NA	0.328	NA
1862	0.677	NA	NA	0.151	0.388	0.454	0.352	0.029	NA	0.395	NA
1863	0.626	NA	NA	0.322	0.55	0.533	0.375	0.148	NA	0.528	NA
1864	0.558	NA	NA	0.282	0.448	0.659	0.301	0.221	NA	0.493	NA
1865	0.533	NA	NA	0.309	0.34	0.495	0.375	0.298	NA	0.275	NA
1866	0.658	NA	NA	0.45	0.38	0.563	0.307	0.275	NA	0.414	NA
1867	0.613	NA	NA	0.459	0.408	0.534	0.316	0.317	NA	0.527	NA
1868	0.804	NA	NA	0.453	0.424	0.721	0.266	0.345	NA	0.412	NA
1869	0.612	NA	NA	0.568	0.459	0.699	0.358	0.366	NA	0.394	NA
1870	0.653	NA	NA	0.735	0.396	0.822	0.309	0.362	NA	0.415	NA
1871	0.656	NA	NA	0.602	0.422	0.67	0.299	0.527	NA	0.474	NA
1872	0.585	NA	NA	0.591	0.484	0.862	0.311	0.796	NA	0.324	NA
1873	0.835	NA	NA	0.626	0.521	0.961	0.687	0.881	NA	0.514	NA
1874	0.588	NA	NA	0.707	0.556	0.884	0.567	0.646	NA	0.495	NA
1875	0.623	NA	NA	0.618	0.583	0.965	0.495	0.634	NA	0.52	NA
1876	0.901	NA	NA	0.6	0.564	0.931	0.474	0.597	NA	0.388	NA
1877	1.181	NA	NA	0.725	0.583	1.285	0.459	0.562	NA	0.318	NA
1878	1.178	NA	NA	0.86	0.706	1.536	0.565	0.743	NA	0.711	NA
1879	1.641	NA	NA	0.964	0.646	1.655	0.413	0.586	NA	0.561	NA
1880	0.883	NA	NA	0.911	0.677	1.34	0.435	0.576	NA	0.436	NA
1881	1.463	NA	0.427	0.819	0.667	1.172	0.55	0.628	NA	0.47	NA
1882	1.309	NA	0.381	0.91	0.77	1.18	0.538	0.754	NA	0.517	NA
1883	0.996	NA	0.383	0.726	0.858	0.837	0.545	0.648	NA	0.531	NA
1884	0.904	NA	0.361	0.919	0.675	1.08	0.549	0.755	NA	0.434	NA
1885	0.877	NA	0.316	0.868	0.647	1.237	0.571	0.682	NA	0.583	NA
1886	0.946	NA	0.362	0.746	0.596	1.262	0.594	0.744	NA	0.647	NA
1887	1.083	NA	0.28	0.891	0.609	1.153	0.748	0.575	NA	0.527	NA
1888	1.102	NA	0.497	1.053	0.795	1.038	0.873	1.024	0.625	0.584	NA
1889	0.967	0.747	0.54	0.719	0.819	1.078	0.74	0.541	0.346	0.522	NA
1890	0.831	0.71	0.603	0.975	0.545	1.166	0.535	0.681	0.264	0.766	NA
1891	0.821	0.43	0.577	0.773	0.577	0.975	0.674	0.749	0.25	0.946	NA
1892	1.143	0.623	0.525	1.268	0.794	1.135	0.752	0.656	0.433	0.731	NA
1893	1.165	0.736	0.56	1.173	0.62	1.01	1.108	0.902	0.418	1.004	NA
1894	1.058	0.422	0.521	0.975	0.532	0.815	0.715	0.564	0.316	0.829	NA
1895	0.934	0.367	0.455	0.998	0.395	0.689	0.689	0.594	0.439	0.757	NA
1896	0.997	0.533	0.415	1.443	0.738	0.89	0.824	0.978	0.508	0.872	NA
1897	1.073	0.643	0.676	1.459	0.804	0.855	0.818	1.071	0.757	1.032	NA
1898	1.139	0.692	0.456	1.197	0.818	0.996	0.758	1.109	0.717	0.932	NA
1899	0.939	0.474	0.421	1.175	0.768	0.937	0.663	0.818	0.624	0.661	NA
1900	0.97	0.439	0.435	0.92	0.411	0.774	0.836	0.893	0.509	0.883	NA
1901	0.932	0.469	0.431	0.972	0.524	0.928	0.674	0.708	0.869	0.961	NA
1902	0.986	0.549	0.519	1.131	0.629	0.832	0.872	1.143	0.663	1.092	NA
1903	0.969	0.571	0.543	1.013	0.719	0.934	0.93	1.165	1.647	1.176	NA
1904	0.806	0.631	0.802	0.861	0.598	0.924	0.636	1.108	1.146	0.772	1.02
1905	0.852	0.563	0.74	0.904	0.628	0.832	0.887	1.006	1.009	0.801	1.174
1906	0.885	0.451	0.609	1.003	0.586	0.62	0.742	1.055	1.234	0.789	0.82
1907	0.865	0.648	0.708	0.966	0.85	0.827	1.059	0.944	1.027	0.876	1.037
1908	0.821	0.569	0.749	1.102	0.912	0.926	0.798	1.077	1.189	0.968	1.356
1909	0.78	0.601	0.748	0.861	0.748	0.886	0.743	0.961	0.852	0.868	1.108
1910	0.696	0.638	0.76	0.722	0.519	0.765	0.533	0.803	0.878	0.853	1.225
1911	0.73	0.571	0.728	0.902	0.712	0.881	0.754	0.753	0.776	0.778	1.028
1912	0.596	0.374	0.69	0.718	0.604	0.737	0.603	0.823	0.724	0.604	1.068
1913	0.726	0.565	0.854	0.964	0.89	1.011	0.986	0.945	0.973	0.965	1.25
1914	0.676	0.46	0.497	0.741	0.585	0.723	0.677	0.719	0.56	0.71	1.016
1915	0.591	0.486	0.564	0.76	0.684	0.806	0.783	0.661	0.884	0.66	0.969
1916	0.718	0.6	0.709	1.024	0.551	0.87	0.828	0.816	1.015	0.568	1.073
1917	0.721	0.408	0.619	0.942	0.357	0.969	0.74	0.702	0.808	0.561	0.777
1918	0.662	0.441	0.493	0.769	0.415	0.848	0.783	0.97	0.843	0.609	0.948
1919	0.578	0.384	0.417	0.746	0.583	0.718	0.634	0.977	0.826	0.581	0.863
1920	0.718	0.537	0.572	0.89	0.481	0.645	0.791	1.11	0.754	0.748	1.015
1921	0.897	0.609	0.663	0.698	0.576	0.935	0.976	0.971	0.854	0.606	1.183
1922	0.789	0.41	0.643	0.686	0.722	0.918	0.82	0.72	0.856	0.767	0.949
1923	0.527	0.418	0.602	0.884	0.656	1.04	0.901	0.941	0.941	0.777	1.137
1924	0.644	0.343	0.527	0.532	0.573	0.815	0.693	0.495	0.795	0.637	0.836
1925	0.615	0.269	0.472	0.7	0.512	0.712	0.844	0.667	0.749	0.719	1.343
1926	0.393	0.249	0.34	0.474	0.48	0.709	0.619	0.586	0.662	0.599	0.948
1927	0.454	0.296	0.412	0.568	0.544	0.626	0.785	0.957	1.107	0.869	1.493
1928	0.639	0.375	0.465	0.669	0.552	0.761	0.871	0.963	1.044	0.605	1.254
1929	0.502	0.428	0.593	0.774	0.385	0.65	0.733	0.924	1.275	0.734	1.234
1930	0.638	0.441	0.619	0.762	0.378	0.794	0.5	0.762	1.058	0.621	1.014
1931	0.662	0.384	0.477	0.852	0.326	0.581	0.634	0.952	0.996	0.769	1.298
1932	0.63	0.362	0.536	0.776	0.593	0.478	0.741	0.82	1.007	0.66	1.219
1933	0.481	0.374	0.634	0.614	0.526	0.704	0.653	0.834	1.125	0.856	1.241
1934	0.395	0.304	0.622	0.752	0.413	0.631	0.47	1.05	0.783	0.616	0.88
1935	0.56	0.31	0.414	0.677	0.467	0.424	0.717	1.171	0.885	0.75	0.849
1936	0.681	0.514	0.544	0.769	0.523	0.568	0.712	1.058	0.845	0.81	1.168
1937	0.517	0.29	0.368	0.964	0.511	0.657	0.632	0.867	0.815	0.602	1.004
1938	0.473	0.338	0.451	0.765	0.432	0.445	0.642	1.231	0.855	0.658	0.95
1939	0.6	0.377	0.433	0.625	0.433	0.485	0.694	1.219	0.765	0.722	1.057
1940	0.402	0.312	0.337	0.451	0.522	0.412	0.675	0.825	0.669	0.63	1.03
1941	0.672	0.39	0.426	0.545	0.469	0.496	0.63	0.709	0.788	0.5	1.258
1942	0.665	0.516	0.642	0.876	0.359	0.67	0.805	0.827	0.883	0.757	1.111
1943	0.502	0.536	0.694	0.998	0.497	0.627	0.658	0.962	0.638	0.706	1.234
1944	0.688	0.501	0.535	0.946	0.385	0.807	0.844	0.874	0.855	0.862	1.084
1945	0.516	0.463	0.617	0.871	0.429	0.72	0.825	0.87	0.764	0.807	1.054
1946	0.588	0.374	0.562	0.893	0.408	0.651	0.732	0.819	0.794	0.936	1.298
1947	0.553	0.476	0.773	0.755	0.375	0.931	0.73	0.63	0.961	0.619	1.345
1948	0.413	0.338	0.733	0.676	0.477	0.827	0.504	0.667	0.768	0.841	1.211
1949	0.486	0.493	0.654	0.735	0.388	0.714	0.882	0.79	0.708	0.885	0.977
1950	0.709	0.605	0.732	0.585	0.432	0.764	0.855	0.927	0.866	0.95	0.895
1951	0.561	0.678	0.574	0.624	0.434	0.731	0.815	0.891	0.68	0.525	0.827
1952	0.749	0.477	0.615	0.625	0.443	0.965	0.951	0.778	0.623	0.71	0.964
1953	0.662	0.556	0.812	0.807	0.347	0.71	0.836	0.835	0.659	0.616	1.049
1954	0.602	0.451	0.711	0.893	0.58	0.732	0.84	0.774	0.546	0.585	1.001
1955	0.507	0.385	0.429	0.591	0.481	0.653	0.803	0.556	0.553	0.42	0.942
1956	0.434	0.467	0.451	0.806	0.367	0.537	0.658	0.799	0.57	0.478	0.892
1957	0.491	0.493	0.576	0.78	0.573	0.623	0.754	0.863	0.523	0.646	0.759
1958	0.498	0.604	0.555	0.603	0.48	0.55	0.871	0.609	0.633	0.522	0.899
1959	0.646	0.73	0.729	1.109	0.429	0.571	0.811	0.556	0.65	0.568	1.019
1960	0.394	0.42	0.541	0.677	0.222	0.792	0.696	0.815	0.58	0.459	1.008
1961	0.463	0.388	0.903	0.705	0.409	0.927	0.73	0.772	0.754	0.672	0.99
1962	0.522	0.414	0.623	0.74	0.464	0.569	0.592	0.603	0.583	0.732	1.041
1963	0.585	0.57	0.86	0.647	0.518	0.492	0.51	0.671	0.667	0.587	1.1
1964	0.577	0.66	0.653	0.851	0.468	0.618	0.72	0.612	0.708	0.852	0.986
1965	0.634	0.547	0.497	0.671	0.477	0.566	0.511	0.609	0.708	0.615	1.021
1966	0.551	0.624	0.579	0.662	0.53	0.512	0.818	0.584	0.811	0.602	1.202
1967	0.617	0.677	0.573	0.754	0.376	0.551	0.805	0.465	0.629	0.834	0.942
1968	0.562	0.491	0.508	0.489	0.414	0.671	0.683	0.802	0.698	0.779	1.126
1969	0.671	0.459	0.457	0.522	0.5	0.598	0.492	0.559	0.688	0.541	0.912
1970	0.774	0.504	0.443	0.511	0.453	0.635	0.612	0.647	0.587	0.859	1.092
1971	0.788	0.441	0.537	0.418	0.381	0.516	0.555	0.508	0.576	0.517	0.848
1972	0.783	0.424	0.518	0.737	0.608	0.525	0.696	0.551	0.82	0.602	0.769
1973	0.765	0.45	0.599	0.503	0.649	0.605	0.627	0.519	0.738	0.627	1.196
1974	0.925	0.551	0.61	0.655	0.52	0.602	0.584	0.443	0.684	0.902	1.085
1975	0.741	0.467	0.717	0.541	0.49	1.366	0.737	0.592	0.553	0.661	0.864
1976	0.945	0.46	0.568	0.573	0.421	0.627	0.75	0.45	0.966	0.497	1.059
1977	0.687	0.451	0.393	0.8	0.295	0.755	0.674	0.674	0.611	0.413	0.736
1978	1.028	0.578	0.6	0.562	0.509	0.559	0.817	0.564	0.508	0.663	0.782
1979	0.738	0.498	0.762	0.966	0.563	0.807	0.909	0.767	0.64	0.561	1.154
1980	0.434	0.508	0.61	0.544	0.435	0.421	0.528	0.508	0.608	0.384	0.788
1981	0.513	0.473	0.604	0.705	0.598	0.551	0.698	0.449	0.68	0.462	1.08
